method,p,n,ratio,trial,std,lower,upper,coverage,error,width
PPI,50,10,0.2,5,0.1,-0.9005144297584358,1.0368835947148354,1,0.019399185883952598,1.9373980244732711
PPI,50,10,0.2,6,0.1,-0.7644033931548979,0.7607906671256883,1,0.050591759608852004,1.5251940602805862
PPI,50,10,0.2,7,0.1,-0.5924480105420286,0.6468614507403624,1,0.021578676495080294,1.239309461282391
PPI,50,10,0.2,8,0.1,-0.7645021863370814,0.669297952998449,1,0.09638751326356346,1.4338001393355304
PPI,50,10,0.2,9,0.1,-0.511244367997773,0.532513811196953,1,0.038150674994657206,1.043758179194726
PPI,50,10,0.2,10,0.1,-0.7678024066377418,0.7351314346163822,1,0.06512088260492702,1.502933841254124
PPI,50,10,0.2,11,0.1,-0.1674591198939841,0.21221213258152477,1,0.026408890250476873,0.37967125247550887
PPI,50,10,0.2,12,0.1,-0.4516234200513145,0.33199428298094,1,0.10859996512943446,0.7836177030322545
PPI,50,10,0.2,13,0.1,-0.11440210889864752,0.21131406628405489,1,0.00032941790154352585,0.3257161751827024
PPI,50,10,0.2,14,0.1,-0.4803346268766973,0.37517578472817253,1,0.1013648176685096,0.8555104116048698
PPI,50,10,0.2,15,0.1,-0.09920081240085643,0.13128829549213872,1,0.032741655048606065,0.23048910789299515
PPI,50,10,0.2,16,0.1,-0.9048876521933704,0.9871850121789492,1,0.007636716601457837,1.8920726643723196
PPI,50,10,0.2,17,0.1,-0.5142864455521287,0.6201139939610832,1,0.004128377610230084,1.134400439513212
PPI,50,10,0.2,18,0.1,-0.26542145409454937,0.3584095712445921,1,0.00229133801922584,0.6238310253391415
PPI,50,10,0.2,19,0.1,-0.4964606758371367,0.5034716553295941,1,0.04527990684801849,0.9999323311667309
PPI,50,10,0.2,20,0.1,-0.1352945037625538,0.05886814107004777,1,0.08699857794050023,0.1941626448326016
PPI,50,10,0.2,21,0.1,-0.6635422787657317,0.834921420418397,1,0.03690417423208545,1.4984636991841287
PPI,50,10,0.2,22,0.1,-0.9539699467885749,0.6538712192131315,1,0.19883476038196893,1.6078411660017065
PPI,50,10,0.2,23,0.1,-0.9799547933739943,0.6940134226908481,1,0.1917560819358203,1.6739682160648424
PPI,50,10,0.2,24,0.1,-0.28366366066221405,0.21995411243794438,1,0.08064017070638205,0.5036177731001584
