method,p,n,trial,std,theta,error,error_max,error_min
PPI,500,100,8,1.0,-0.0028765755319721436,0.0010630630791442371,0.012791171963726521,1.0913794781297256e-09
Classical,500,100,8,1.0,-0.0028765755319721436,0.2841664148242166,2.4697403798622264,3.4522834309228756e-06
PPI,500,100,9,1.0,-0.0028765755319721436,0.0010484705916058888,0.01596008045423569,1.7519187453954678e-08
Classical,500,100,9,1.0,-0.0028765755319721436,0.2712318612481923,1.7575685975465147,7.007273457032788e-07
PPI,500,500,0,1.0,-0.0028765755319721436,0.6779063830515395,8.155933331315545,4.453446697029775e-06
Classical,500,500,0,1.0,-0.0028765755319721436,0.6779063830515676,8.155933331315815,4.453446697034226e-06
PPI,500,500,1,1.0,-0.0028765755319721436,54.32653998959338,452.56895929583885,4.976342683071641e-05
Classical,500,500,1,1.0,-0.0028765755319721436,54.32653998959336,452.5689592958434,4.9763426830739126e-05
PPI,500,500,2,1.0,-0.0028765755319721436,0.7432727209992682,8.854938954892264,2.8650856804937665e-06
Classical,500,500,2,1.0,-0.0028765755319721436,0.7432727209992709,8.854938954891999,2.8650856804379533e-06
PPI,500,500,3,1.0,-0.0028765755319721436,1.2688231416704818,12.850232458474384,3.4399381379901316e-06
Classical,500,500,3,1.0,-0.0028765755319721436,1.268823141670478,12.850232458474244,3.4399381381070907e-06
PPI,500,500,4,1.0,-0.0028765755319721436,5.330624320310668,61.18909877599907,1.1078583018076592e-05
Classical,500,500,4,1.0,-0.0028765755319721436,5.330624320310757,61.18909877600016,1.1078583018051464e-05
PPI,500,500,5,1.0,-0.0028765755319721436,5.835921788919477,48.778930127954034,2.6473158597455987e-06
Classical,500,500,5,1.0,-0.0028765755319721436,5.835921788919517,48.77893012795563,2.6473158598216707e-06
PPI,500,500,6,1.0,-0.0028765755319721436,18.987222609414495,171.6643173172929,0.00011845302299737297
Classical,500,500,6,1.0,-0.0028765755319721436,18.987222609413745,171.66431731728315,0.00011845302299695488
PPI,500,500,7,1.0,-0.0028765755319721436,0.24043184009845123,2.4731506015687956,2.2257043371110507e-07
