method,p,n,ratio,trial,std,lower,upper,theta,width
PPI,20,1,0.05,4,10.0,,,-2.178498406883067,
PPI,20,1,0.05,5,10.0,,,-2.178498406883067,
PPI,20,1,0.05,6,10.0,,,-2.178498406883067,
PPI,20,1,0.05,7,10.0,,,-2.178498406883067,
PPI,20,1,0.05,8,10.0,,,-2.178498406883067,
PPI,20,1,0.05,9,10.0,,,-2.178498406883067,
PPI,20,1,0.05,10,10.0,,,-2.178498406883067,
PPI,20,1,0.05,11,10.0,,,-2.178498406883067,
PPI,20,1,0.05,12,10.0,,,-2.178498406883067,
PPI,20,1,0.05,13,10.0,,,-2.178498406883067,
PPI,20,1,0.05,14,10.0,,,-2.178498406883067,
PPI,20,1,0.05,15,10.0,,,-2.178498406883067,
PPI,20,1,0.05,16,10.0,,,-2.178498406883067,
PPI,20,1,0.05,17,10.0,,,-2.178498406883067,
PPI,20,1,0.05,18,10.0,,,-2.178498406883067,
PPI,20,1,0.05,19,10.0,,,-2.178498406883067,
PPI,20,1,0.05,20,10.0,,,-2.178498406883067,
PPI,20,1,0.05,21,10.0,,,-2.178498406883067,
PPI,20,1,0.05,22,10.0,,,-2.178498406883067,
PPI,20,1,0.05,23,10.0,,,-2.178498406883067,
PPI,20,1,0.05,24,10.0,,,-2.178498406883067,
PPI,20,1,0.05,25,10.0,,,-2.178498406883067,
PPI,20,1,0.05,26,10.0,,,-2.178498406883067,
PPI,20,1,0.05,27,10.0,,,-2.178498406883067,
PPI,20,1,0.05,28,10.0,,,-2.178498406883067,
PPI,20,1,0.05,29,10.0,,,-2.178498406883067,
PPI,20,2,0.1,0,0.01,19.256418754006624,19.25641875400664,-2.178498406883067,1.4210854715202004e-14
PPI,20,2,0.1,1,0.01,,,-2.178498406883067,
PPI,20,2,0.1,2,0.01,6.414367864214406,6.41436786421471,-2.178498406883067,3.0375701953744283e-13
PPI,20,2,0.1,3,0.01,-1.5451071161612626,-1.5451071161612626,-2.178498406883067,0.0
PPI,20,2,0.1,4,0.01,-0.5788441837448605,-0.5788441837422863,-2.178498406883067,2.574163104895888e-12
PPI,20,2,0.1,5,0.01,,,-2.178498406883067,
PPI,20,2,0.1,6,0.01,-2.2728264465160186,-2.2728264465139936,-2.178498406883067,2.0250467969162855e-12
PPI,20,2,0.1,7,0.01,-0.20804722536844839,-0.2080472253682642,-2.178498406883067,1.8418599978531347e-13
PPI,20,2,0.1,8,0.01,-6.4773698712255054,-6.477369871224914,-2.178498406883067,5.915268275202834e-13
PPI,20,2,0.1,9,0.01,6.427132580958063,6.427132580958383,-2.178498406883067,3.197442310920451e-13
PPI,20,2,0.1,10,0.01,1.9232878307459436,1.9233129989939488,-2.178498406883067,2.5168248005247307e-05
PPI,20,2,0.1,11,0.01,5.009486953101061,5.009486953101841,-2.178498406883067,7.7982065249671e-13
PPI,20,2,0.1,12,0.01,,,-2.178498406883067,
PPI,20,2,0.1,13,0.01,13.283507833852548,13.283507833852637,-2.178498406883067,8.881784197001252e-14
PPI,20,2,0.1,14,0.01,3.684560965993982,3.6845609659940823,-2.178498406883067,1.0036416142611415e-13
PPI,20,2,0.1,15,0.01,1.5593604636841085,1.5593604636841338,-2.178498406883067,2.531308496145357e-14
PPI,20,2,0.1,16,0.01,1.1618408727489078,1.1618542676326375,-2.178498406883067,1.3394883729755946e-05
PPI,20,2,0.1,17,0.01,19.70708082362863,19.707080823629923,-2.178498406883067,1.2931877790833823e-12
PPI,20,2,0.1,18,0.01,6.532042180803967,6.532042180805376,-2.178498406883067,1.4086509736443986e-12
PPI,20,2,0.1,19,0.01,-3.3794403896791376,-3.3794403896791376,-2.178498406883067,0.0
PPI,20,2,0.1,20,0.01,5.447916141232457,5.44791614123394,-2.178498406883067,1.4832579608992091e-12
PPI,20,2,0.1,21,0.01,21.71228729719127,21.712287297191804,-2.178498406883067,5.329070518200751e-13
PPI,20,2,0.1,22,0.01,20.936347291795474,20.936347291795887,-2.178498406883067,4.121147867408581e-13
PPI,20,2,0.1,23,0.01,12.055252001881536,12.055555505748154,-2.178498406883067,0.0003035038666183709
PPI,20,2,0.1,24,0.01,8.475742271808492,8.475742271809061,-2.178498406883067,5.684341886080801e-13
PPI,20,2,0.1,25,0.01,9.995567614904,9.995567614904216,-2.178498406883067,2.1671553440683056e-13
PPI,20,2,0.1,26,0.01,6.135313059993693,6.135318266647476,-2.178498406883067,5.206653783673687e-06
PPI,20,2,0.1,27,0.01,-1.1283689897596885,-1.1283689897596663,-2.178498406883067,2.220446049250313e-14
PPI,20,2,0.1,28,0.01,10.660034823601675,10.66003482360445,-2.178498406883067,2.7746693831431912e-12
PPI,20,2,0.1,29,0.01,-15.17093041212809,-15.170909466674601,-2.178498406883067,2.094545348896304e-05
