method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,5000,0.49937160923554774,0.504026578500411,4,0.0,0.01,True,1.4776543961774816e-06,,0.004654969264863251
Tuned PPI,5000,0.49917962888282885,0.5037093378891132,4,0.0,0.01,True,1.159334746265298e-06,0.0,0.004529709006284355
Classical,5000,0.4991798553796046,0.5037091113923375,4,0.0,0.01,True,1.159334746265298e-06,,0.004529256012732963
PPI,5000,0.5011415348482314,0.5058075289442595,5,0.0,0.01,False,6.067534818423608e-06,,0.004665994096028081
Tuned PPI,5000,0.5010201903739918,0.5056694277119534,5,0.0,0.01,False,5.6060028898480655e-06,0.24920463101427506,0.004649237337961631
Classical,5000,0.5010347507227796,0.5055687519258071,5,0.0,0.01,False,5.458510634200635e-06,,0.004534001203027493
PPI,5000,0.49709647177983307,0.5017578559488158,6,0.0,0.01,True,3.7282921051763473e-07,,0.004661384168982763
Tuned PPI,5000,0.49731662861417925,0.5019549279907315,6,0.0,0.01,True,1.6083984085089246e-07,0.030431958708445565,0.004638299376552246
Classical,5000,0.4972635621930723,0.5020210900290546,6,0.0,0.01,True,1.5561380492276858e-07,,0.0047575278359823225
PPI,5000,0.49955803625754,0.5042846754996437,7,0.0,0.01,True,1.8473229519000077e-06,,0.004726639242103758
Tuned PPI,5000,0.4997080062116465,0.5044144190332974,7,0.0,0.01,True,2.1246977533881346e-06,0.1733388197673304,0.004706412821650907
Classical,5000,0.49971660260790723,0.5044644744849776,7,0.0,0.01,True,2.1854314593999374e-06,,0.00474787187707032
PPI,5000,0.4978185253162803,0.5025145958852492,8,0.0,0.01,True,1.3259047064109291e-06,,0.004696070568968869
Tuned PPI,5000,0.49776777336169925,0.5024452861754289,8,0.0,0.01,True,1.5880073137784602e-06,0.17100132255307565,0.0046775128137296895
Classical,5000,0.4977697377511276,0.5024185561211583,8,0.0,0.01,True,1.6456681299713089e-06,,0.004648818370030672
PPI,5000,0.5010470398605741,0.505676312382158,9,0.0,0.01,False,1.0351981384650794e-05,,0.00462927252158396
Tuned PPI,5000,0.5011331934804215,0.5057381169580513,9,0.0,0.01,False,1.0342719138724973e-05,0.18093104802641288,0.004604923477629752
Classical,5000,0.5011588781909925,0.5057451159810716,9,0.0,0.01,False,1.0342413728167313e-05,,0.004586237790079162
PPI,1000,0.49337143669733347,0.5095189290695737,0,0.0,0.1,True,1.226476263534412e-05,,0.01614749237224028
Tuned PPI,1000,0.4981485753113,0.5085232879469993,0,0.0,0.1,True,7.121999755813181e-06,0.0,0.01037471263569928
Classical,1000,0.49815116963820294,0.5085206936200964,0,0.0,0.1,True,7.121999755813181e-06,,0.010369523981893503
PPI,1000,0.4921910607122365,0.5079131866853143,1,0.0,0.1,True,4.410271535080479e-05,,0.01572212597307776
Tuned PPI,1000,0.4897503948906596,0.5002617195082842,1,0.0,0.1,True,3.423646050548741e-05,0.018360779681965814,0.010511324617624662
Classical,1000,0.4898422415732547,0.4999811075169352,1,0.0,0.1,False,3.436885769777693e-05,,0.01013886594368052
PPI,1000,0.4863464273810482,0.5000605123821502,2,0.0,0.1,True,4.4426355779766025e-05,,0.013714085001101994
Tuned PPI,1000,0.4907338363712013,0.5008052659543737,2,0.0,0.1,True,1.4606269841759697e-05,0.03968492543156022,0.010071429583172364
Classical,1000,0.49105348397222426,0.5006977044634038,2,0.0,0.1,True,1.3731519304946956e-05,,0.009644220491179523
PPI,1000,0.4937500799639424,0.507802921902012,3,0.0,0.1,True,3.758954017046417e-07,,0.01405284193806966
Tuned PPI,1000,0.49601131727206194,0.5064762287489402,3,0.0,0.1,True,4.554634932880138e-06,0.04857342682844598,0.010464911476878225
Classical,1000,0.49588849618048525,0.5066467613648882,3,0.0,0.1,True,4.923791279781153e-06,,0.010758265184402926
PPI,1000,0.4927001504834767,0.5067954778598988,4,0.0,0.1,True,2.3710748988624738e-05,,0.014095327376422051
Tuned PPI,1000,0.4962647372286141,0.5069303551856174,4,0.0,0.1,True,1.276175322967029e-06,0.0,0.01066561795700327
Classical,1000,0.49626740430003796,0.5069276881141934,4,0.0,0.1,True,1.276175322967029e-06,,0.010660283814155458
PPI,1000,0.4939206578565818,0.5080462101914489,5,0.0,0.1,True,6.42796777667618e-07,,0.01412555233486712
Tuned PPI,1000,0.4964439181637952,0.5065255610210322,5,0.0,0.1,True,1.2705147554126548e-06,0.03785987082883823,0.010081642857237005
Classical,1000,0.4967023832167518,0.506306548358616,5,0.0,0.1,True,1.3271384889972653e-06,,0.009604165141864185
PPI,1000,0.4974079434822791,0.512562118035454,6,0.0,0.1,True,1.8731449723143183e-05,,0.015154174553174915
Tuned PPI,1000,0.49395453869782696,0.5050700157280312,6,0.0,0.1,True,1.2197599457572966e-07,0.04523562251469,0.011115477030204268
Classical,1000,0.4937214506041275,0.5047845184631697,6,0.0,0.1,True,2.8276602989797846e-07,,0.011063067859042264
PPI,1000,0.49120266033600446,0.5059867544511302,7,0.0,0.1,True,1.0604654141115919e-06,,0.014784094115125712
Tuned PPI,1000,0.49912413334546984,0.5091399318997923,7,0.0,0.1,True,1.622593420198978e-05,0.02798933409817547,0.010015798554322497
Classical,1000,0.49909162044123867,0.5094913426336117,7,0.0,0.1,True,1.7302347398548694e-05,,0.010399722192373062
PPI,1000,0.4842825304214642,0.4979468579860855,8,0.0,0.1,False,3.960403326023129e-05,,0.013664327564621326
Tuned PPI,1000,0.4917282041513979,0.5017472404591444,8,0.0,0.1,True,5.3525183345979915e-06,0.1052999760786948,0.010019036307746532
Classical,1000,0.49207744879555804,0.5027215784879392,8,0.0,0.1,True,3.4053900355507184e-06,,0.010644129692381155
PPI,1000,0.48993372391966383,0.5044604583670071,9,0.0,0.1,True,7.553409792569392e-06,,0.014526734447343315
Tuned PPI,1000,0.4940003599102493,0.5040527822033519,9,0.0,0.1,True,5.131190921445341e-07,0.0,0.010052422293102603
Classical,1000,0.4940028736444133,0.5040502684691879,9,0.0,0.1,True,5.131190921445341e-07,,0.01004739482477457
PPI,2000,0.4997173277968622,0.5103728385098304,0,0.0,0.1,True,1.5026125019416447e-05,,0.01065551071296822
Tuned PPI,2000,0.4974150021035236,0.5049771758011498,0,0.0,0.1,True,7.175632724554118e-07,0.0,0.007562173697626184
Classical,2000,0.49741594749342427,0.5049762304112491,0,0.0,0.1,True,7.175632724554118e-07,,0.00756028291782479
PPI,2000,0.4920513476112064,0.501470009376887,1,0.0,0.1,True,6.292436677331117e-06,,0.009418661765680625
Tuned PPI,2000,0.4962050209399828,0.5028282739476698,1,0.0,0.1,True,4.589688743889929e-07,0.04356951225539812,0.006623253007687013
Classical,2000,0.49621968144210143,0.503064705865694,1,0.0,0.1,True,4.9720361539003e-07,,0.006845024423592527
