method,p,n,trial,std,lam,theta,error,error_max,error_min
Classical,20,100,19,1.0,,0.11329126126803586,0.013258406287069901,0.10376512311693682,2.9338649497487933e-07
PPI,20,100,20,1.0,1.0,0.11329126126803586,0.0057697950786496045,0.01930222476825558,3.0125819809577896e-05
Classical,20,100,20,1.0,,0.11329126126803586,0.005769795078649567,0.019302224768255213,3.0125819809599835e-05
PPI,20,100,21,1.0,1.0,0.11329126126803586,0.013956214227863726,0.07719227151972198,5.2993921325832934e-06
Classical,20,100,21,1.0,,0.11329126126803586,0.01395621422786365,0.07719227151972216,5.2993921325817595e-06
PPI,20,100,22,1.0,1.0,0.11329126126803586,0.01752407069619159,0.07329388941821344,7.416940511760369e-05
Classical,20,100,22,1.0,,0.11329126126803586,0.017524070696191652,0.0732938894182144,7.416940511760369e-05
PPI,20,100,23,1.0,1.0,0.11329126126803586,0.012400252290123367,0.04845272173101113,5.099337527147986e-05
Classical,20,100,23,1.0,,0.11329126126803586,0.012400252290123497,0.048452721731011276,5.099337527149254e-05
PPI,20,100,24,1.0,1.0,0.11329126126803586,0.008343732138527292,0.04195236706445974,4.4431487106106756e-07
Classical,20,100,24,1.0,,0.11329126126803586,0.008343732138527302,0.04195236706445983,4.4431487105914347e-07
PPI,20,100,25,1.0,1.0,0.11329126126803586,0.005509035591752781,0.03414165990802227,6.590060574267214e-07
Classical,20,100,25,1.0,,0.11329126126803586,0.005509035591752811,0.03414165990802203,6.590060574266312e-07
PPI,20,100,26,1.0,1.0,0.11329126126803586,0.009385917333691022,0.02934194338644669,1.8494151102643008e-05
Classical,20,100,26,1.0,,0.11329126126803586,0.00938591733369106,0.02934194338644703,1.8494151102653033e-05
PPI,20,100,27,1.0,1.0,0.11329126126803586,0.013385582474259744,0.061201742746311266,4.303957962350002e-05
Classical,20,100,27,1.0,,0.11329126126803586,0.013385582474259718,0.061201742746311225,4.303957962351022e-05
PPI,20,100,28,1.0,1.0,0.11329126126803586,0.009378673782472065,0.0275666610131041,9.271295075442238e-06
Classical,20,100,28,1.0,,0.11329126126803586,0.009378673782472102,0.027566661013104246,9.271295075444942e-06
PPI,20,100,29,1.0,1.0,0.11329126126803586,0.008046473962781055,0.06191235713367392,2.6738815208727058e-05
Classical,20,100,29,1.0,,0.11329126126803586,0.008046473962781062,0.061912357133675246,2.6738815208730504e-05
PPI,50,100,0,1.0,1.0,-0.1508618590942927,0.013163380523259691,0.09299022050781339,1.3476855451315292e-05
Classical,50,100,0,1.0,,-0.1508618590942927,0.013163380523259698,0.0929902205078135,1.3476855451296544e-05
PPI,50,100,1,1.0,1.0,-0.1508618590942927,0.021124455052534283,0.2336122818927735,1.3782978202436301e-06
Classical,50,100,1,1.0,,-0.1508618590942927,0.021124455052534255,0.2336122818927723,1.378297820241284e-06
PPI,50,100,2,1.0,1.0,-0.1508618590942927,0.012837034187100003,0.09907475554311578,1.726886666360464e-05
Classical,50,100,2,1.0,,-0.1508618590942927,0.012837034187100058,0.09907475554311732,1.7268866663579262e-05
PPI,50,100,3,1.0,1.0,-0.1508618590942927,0.01733872247624113,0.12959572276465695,7.149749859205701e-08
Classical,50,100,3,1.0,,-0.1508618590942927,0.017338722476241207,0.12959572276465656,7.149749859115157e-08
PPI,50,100,4,1.0,1.0,-0.1508618590942927,0.024533297386101736,0.14207486403403913,3.617400289802106e-05
Classical,50,100,4,1.0,,-0.1508618590942927,0.024533297386101674,0.14207486403404176,3.617400289798367e-05
PPI,50,100,5,1.0,1.0,-0.1508618590942927,0.018322618723512162,0.12813368376055656,7.843909033186036e-05
Classical,50,100,5,1.0,,-0.1508618590942927,0.01832261872351221,0.1281336837605584,7.843909033186429e-05
PPI,50,100,6,1.0,1.0,-0.1508618590942927,0.029780973839608555,0.18392666471900337,1.0543113420008583e-06
Classical,50,100,6,1.0,,-0.1508618590942927,0.02978097383960851,0.1839266647190008,1.0543113419949304e-06
PPI,50,100,7,1.0,1.0,-0.1508618590942927,0.02258764782364987,0.22002621938467398,0.0001099956714758604
Classical,50,100,7,1.0,,-0.1508618590942927,0.022587647823649762,0.22002621938467248,0.00010999567147586506
PPI,50,100,8,1.0,1.0,-0.1508618590942927,0.018051545477828078,0.14215126888906843,7.256511161897088e-06
Classical,50,100,8,1.0,,-0.1508618590942927,0.018051545477828012,0.142151268889069,7.256511161910845e-06
