method,p,n,trial,std,theta,error,error_max,error_min
Classical,3366,1000,1,1.0,-0.00017411743991230198,0.0003229916249822479,0.0038106610731782355,2.9116101832963326e-11
PPI,3366,1000,2,1.0,-0.00017411743991230198,0.00033022930456256123,0.005186747683696788,1.0585082059938343e-11
Classical,3366,1000,2,1.0,-0.00017411743991230198,0.0003302293045625614,0.005186747683696788,1.0585082059960919e-11
PPI,3366,1000,3,1.0,-0.00017411743991230198,0.0003419970604135001,0.003807381682447048,2.1691622538055973e-11
Classical,3366,1000,3,1.0,-0.00017411743991230198,0.00034199706041350013,0.0038073816824470462,2.1691622538088292e-11
PPI,3366,1000,4,1.0,-0.00017411743991230198,0.0003363232807030413,0.004817737033158897,3.9848986438895604e-12
Classical,3366,1000,4,1.0,-0.00017411743991230198,0.0003363232807030414,0.004817737033158897,3.984898643854065e-12
PPI,3366,1000,5,1.0,-0.00017411743991230198,0.0003353690853401075,0.004405791037899262,3.424519232832165e-11
Classical,3366,1000,5,1.0,-0.00017411743991230198,0.0003353690853401075,0.004405791037899262,3.424519232832165e-11
PPI,3366,1000,6,1.0,-0.00017411743991230198,0.00032776893622211663,0.0038721363274845937,4.942922734984628e-12
Classical,3366,1000,6,1.0,-0.00017411743991230198,0.00032776893622211663,0.0038721363274845937,4.942922734984628e-12
PPI,3366,1000,7,1.0,-0.00017411743991230198,0.00032308333128540844,0.0034095473681243003,3.825373394624577e-12
Classical,3366,1000,7,1.0,-0.00017411743991230198,0.00032308333128540844,0.0034095473681243003,3.825373394624577e-12
PPI,3366,1000,8,1.0,-0.00017411743991230198,0.00032411181694474707,0.003495329229402453,1.0112495716127948e-11
Classical,3366,1000,8,1.0,-0.00017411743991230198,0.0003241118169447473,0.0034953292294024546,1.0112495716006587e-11
PPI,3366,1000,9,1.0,-0.00017411743991230198,0.00034409525254891125,0.003721232035849038,1.0887251245173883e-11
Classical,3366,1000,9,1.0,-0.00017411743991230198,0.00034409525254891125,0.003721232035849038,1.0887251245196779e-11
PPI,4472,1000,0,1.0,-0.0002691068933402,0.0002209670668240846,0.0026589302389798362,1.0854346575464531e-10
Classical,4472,1000,0,1.0,-0.0002691068933402,,,
PPI,4472,1000,1,1.0,-0.0002691068933402,0.00021709857253652255,0.0024752457661779436,4.910577332701415e-11
Classical,4472,1000,1,1.0,-0.0002691068933402,,,
PPI,4472,1000,2,1.0,-0.0002691068933402,0.000212987842245241,0.002108689756011081,1.0958820125209252e-11
Classical,4472,1000,2,1.0,-0.0002691068933402,,,
PPI,4472,1000,3,1.0,-0.0002691068933402,0.00021405061706682765,0.0023437505686573277,2.506458663267706e-11
Classical,4472,1000,3,1.0,-0.0002691068933402,,,
PPI,4472,1000,4,1.0,-0.0002691068933402,0.00021929237667948171,0.00250521307884941,6.1906175380766514e-12
Classical,4472,1000,4,1.0,-0.0002691068933402,,,
PPI,4472,1000,5,1.0,-0.0002691068933402,0.00022205844100820255,0.002145924275961449,5.933529992575387e-12
Classical,4472,1000,5,1.0,-0.0002691068933402,0.0002372251428713332,0.0022810935222763247,2.3675123246010594e-13
PPI,4472,1000,6,1.0,-0.0002691068933402,0.00022845589743164608,0.002953937914334787,3.4797732308109314e-12
Classical,4472,1000,6,1.0,-0.0002691068933402,,,
PPI,4472,1000,7,1.0,-0.0002691068933402,0.00021732084070284172,0.0022646915541679777,2.1402680618378113e-11
Classical,4472,1000,7,1.0,-0.0002691068933402,0.00023306919519427768,0.002269428622968223,1.526344920054014e-11
PPI,4472,1000,8,1.0,-0.0002691068933402,0.00021694703550471974,0.002586412499082407,1.7810503740525143e-11
Classical,4472,1000,8,1.0,-0.0002691068933402,,,
PPI,4472,1000,9,1.0,-0.0002691068933402,0.000216561464357987,0.002286456828220201,3.253737334052626e-11
Classical,4472,1000,9,1.0,-0.0002691068933402,,,
