method,p,n,ratio,trial,std,lower,upper,width,width_max,width_min,coverage,theta,error,error_max,error_min
PPI,50,5,0.1,3,1.0,-0.7421457692986795,0.8012382199800855,1.543383989278765,2.851223223807165,0.22693790062647284,1.0,0.02291165778953181,0.00206821854643387,0.027072624594215403,4.938380631769888e-06
Classical,50,5,0.1,3,1.0,0.018855646112060444,0.01885564611206052,7.556455461354972e-17,1.717376241217039e-16,1.0408340855860843e-17,0.0,,0.01944620144726687,0.09716604456942554,0.00012275014048624842
PPI,50,5,0.1,4,1.0,-0.5403441428945475,0.5962365636800647,1.136580706574612,2.27020781955644,0.2731798616165486,1.0,0.02291165778953181,0.0015782958339670677,0.0072693889879627445,1.1554716194711693e-06
Classical,50,5,0.1,4,1.0,-0.0008119342802216362,-0.0008119342802214788,1.5514499407398575e-16,3.3306690738754696e-16,3.469446951953614e-17,0.0,,0.018740110804614858,0.09008782304668987,9.206727842078643e-06
PPI,50,5,0.1,5,1.0,-0.9054127639002983,0.9614108410644766,1.8668236049647748,4.368290755866817,0.4913440117192762,1.0,0.02291165778953181,0.0017619696933458702,0.01268039042664718,1.9895790460813e-06
Classical,50,5,0.1,5,1.0,0.007165320678311616,0.007165320678311774,1.5778611056616042e-16,3.5388358909926865e-16,2.7755575615628914e-17,0.0,,0.019940428395738296,0.10628240623319392,2.622496345965031e-06
PPI,50,5,0.1,6,1.0,-1.123929293675276,1.1872861606822867,2.311215454357563,4.34278922057922,0.6042353287709323,1.0,0.02291165778953181,0.004650282679768421,0.03544155418670628,1.892467061838327e-05
Classical,50,5,0.1,6,1.0,0.0006745396340994505,0.0006745396340997773,3.2864553092815105e-16,6.106226635438361e-16,8.326672684688674e-17,0.0,,0.022690543023390467,0.08400445563190859,4.5526861183370706e-05
PPI,50,5,0.1,7,1.0,-0.7488432762611434,0.8031892900239402,1.552032566285084,3.9116900084442348,0.4124631858959029,1.0,0.02291165778953181,0.002480197623246607,0.014379833290928115,7.84342403057603e-09
Classical,50,5,0.1,7,1.0,0.012769772826973464,0.012769772826973806,3.4080811089909347e-16,6.938893903907228e-16,1.0408340855860843e-16,0.0,,0.017200271006584823,0.14337125183259283,3.5323086377815305e-06
PPI,50,5,0.1,8,1.0,-0.6392714096953611,0.6986378899002261,1.3379092995955875,3.4587150433198905,0.29997780643877836,1.0,0.02291165778953181,0.0029340911146915807,0.02177301537011963,1.7398245759358647e-07
Classical,50,5,0.1,8,1.0,0.01102561542324323,0.01102561542324332,8.977193988179977e-17,1.942890293094024e-16,2.7755575615628914e-17,0.0,,0.02117398445198675,0.07514752652365485,1.5713095768785656e-05
PPI,50,5,0.1,9,1.0,-0.6648309367115754,0.7169050523164684,1.381735989028044,3.0693216750261683,0.3895727377756222,1.0,0.02291165778953181,0.0018130386221717589,0.014974327331863338,2.532889998282866e-08
