method,p,n,trial,std,theta,error,error_max,error_min
Classical,1000,500,37,1.0,0.0012091989118102875,0.16940534612657127,1.5096179755986467,8.281635128443482e-08
PPI,1000,500,38,1.0,0.0012091989118102875,0.001522157607739959,0.013261848382704803,1.5980283258475352e-08
Classical,1000,500,38,1.0,0.0012091989118102875,0.1558403785514767,1.411857211846842,1.1644136698151178e-07
PPI,1000,500,39,1.0,0.0012091989118102875,0.0017411949403751967,0.017723514055827234,8.869948301872479e-10
Classical,1000,500,39,1.0,0.0012091989118102875,0.17394404020284673,1.613884175414464,2.497094987457435e-08
PPI,1000,500,40,1.0,0.0012091989118102875,0.0016725066799731776,0.021250076867772,2.153398969531495e-09
Classical,1000,500,40,1.0,0.0012091989118102875,0.16873537910475583,1.4346191547662226,4.2729032387150285e-12
PPI,1000,500,41,1.0,0.0012091989118102875,0.0015074944352950726,0.019785953164887068,1.583332136861027e-11
Classical,1000,500,41,1.0,0.0012091989118102875,0.16222334616539025,2.114605332239226,2.529972855762831e-06
PPI,1000,500,42,1.0,0.0012091989118102875,0.0015698912004896589,0.024226974001581286,1.2872340033304183e-09
Classical,1000,500,42,1.0,0.0012091989118102875,0.16781307456673364,1.636212725214481,1.7148002338222588e-08
PPI,1000,500,43,1.0,0.0012091989118102875,0.0014544513962959154,0.016889235642516803,2.2908551127997363e-09
Classical,1000,500,43,1.0,0.0012091989118102875,0.14822259403289043,2.1819364410191544,1.551243204902258e-06
PPI,1000,500,44,1.0,0.0012091989118102875,0.0016084895540339884,0.02149625149439925,5.002620334167656e-11
Classical,1000,500,44,1.0,0.0012091989118102875,0.1755806438405303,1.6412705608213958,2.7891695024386406e-09
PPI,1000,500,45,1.0,0.0012091989118102875,0.0015895578992057532,0.01852719195547185,1.1013160850949397e-11
Classical,1000,500,45,1.0,0.0012091989118102875,0.168000028083402,1.7305449619429805,4.378268961385874e-09
PPI,1000,500,46,1.0,0.0012091989118102875,0.0015970070913847883,0.01554536951879036,4.7966820609673e-09
Classical,1000,500,46,1.0,0.0012091989118102875,0.18061442343710996,1.7756631420393567,2.009396935035111e-07
PPI,1000,500,47,1.0,0.0012091989118102875,0.001402467648969727,0.01455723126125141,1.8548271477014622e-11
Classical,1000,500,47,1.0,0.0012091989118102875,0.16685049704671512,1.6377828755896666,6.206752352268737e-08
PPI,1000,500,48,1.0,0.0012091989118102875,0.0014738553394660079,0.01664534964404415,7.01869066425219e-09
Classical,1000,500,48,1.0,0.0012091989118102875,0.16967938358301538,1.527694351657459,1.4734269909939615e-08
PPI,1000,500,49,1.0,0.0012091989118102875,0.0014663281586850473,0.013015647195077615,1.6421962749912898e-11
Classical,1000,500,49,1.0,0.0012091989118102875,0.17340761671359323,2.5964761584238434,9.454188916143765e-08
