method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
Classical,1000,0.4389998733638648,0.5409908172494691,6,0.0,0.01,True,0.00013282803508187665,,0.10199094388560426
PPI,1000,0.45226981815989453,0.5649321080305678,7,0.0,0.01,True,0.0013746167746369355,,0.11266228987067328
Tuned PPI,1000,0.4522479855901365,0.5649223464402976,7,0.0,0.01,True,0.0013721965802987691,0.8449928113513946,0.11267436085016108
Classical,1000,0.4536942820419768,0.5633038203110005,7,0.0,0.01,True,0.0013590420609175973,,0.10960953826902364
PPI,1000,0.4148626312230983,0.5195403271694943,8,0.0,0.01,True,0.0012645763949140861,,0.10467769594639598
Tuned PPI,1000,0.4172431681495721,0.5165856220840831,8,0.0,0.01,True,0.001274271665805854,0.0,0.09934245393451102
Classical,1000,0.41726800997506547,0.5165607802585898,8,0.0,0.01,True,0.001274271665805852,,0.09929277028352429
PPI,1000,0.4100080534866278,0.5187941564557912,9,0.0,0.01,True,0.0011285819580988412,,0.10878610296916341
Tuned PPI,1000,0.4110983825746778,0.517257009538807,9,0.0,0.01,True,0.0011431968549484588,0.0,0.10615862696412925
Classical,1000,0.41112492886965263,0.5172304632438323,9,0.0,0.01,True,0.0011431968549484588,,0.10610553437417963
PPI,2000,0.45353511103860716,0.5255486710241527,0,0.0,0.01,True,7.135299061509659e-05,,0.07201355998554554
Tuned PPI,2000,0.4539197445295312,0.5260734521378001,0,0.0,0.01,True,6.777967601811986e-05,0.0,0.07215370760826889
Classical,2000,0.4539287648706658,0.5260644317966655,0,0.0,0.01,True,6.777967601811986e-05,,0.07213566692599971
PPI,2000,0.4687660273772192,0.5460679715059304,1,0.0,0.01,True,3.450529561843357e-05,,0.07730194412871128
Tuned PPI,2000,0.46892096103334846,0.5462167565880593,1,0.0,0.01,True,3.597346268054062e-05,0.2807113748861224,0.07729579555471089
Classical,2000,0.4696859212664707,0.5455703263881088,1,0.0,0.01,True,3.655475508602405e-05,,0.07588440512163808
PPI,2000,0.4647619067728434,0.5374061955338667,2,0.0,0.01,True,0.0003912771829438475,,0.0726442887610233
Tuned PPI,2000,0.4647619067728434,0.5374061955338667,2,0.0,0.01,True,0.0003912771829438475,1.0,0.0726442887610233
Classical,2000,0.4657522132134678,0.5367163432425371,2,0.0,0.01,True,0.0003795863667756916,,0.07096413002906932
PPI,2000,0.48106862707100223,0.5576553613073987,3,0.0,0.01,True,0.0005654146828596965,,0.07658673423639645
Tuned PPI,2000,0.4810040501095095,0.5575402414611379,3,0.0,0.01,True,0.0005687765567138378,0.5471536154628918,0.07653619135162842
Classical,2000,0.48005535761547935,0.5582718145049379,3,0.0,0.01,True,0.0005728948747703327,,0.07821645688945855
PPI,2000,0.4685121324987905,0.5419704912642412,4,0.0,0.01,True,0.0001522094092272615,,0.07345835876545076
Tuned PPI,2000,0.4685126771486342,0.5419723775303457,4,0.0,0.01,True,0.0001521871349662891,0.9106407429236744,0.07345970038171146
Classical,2000,0.46655819749007016,0.543951630124328,4,0.0,0.01,True,0.00015196039602651201,,0.07739343263425785
PPI,2000,0.43013729292084424,0.5047071283611505,5,0.0,0.01,True,0.0005911353696702905,,0.07456983544030626
Tuned PPI,2000,0.43021173528991746,0.5043559197975179,5,0.0,0.01,True,0.0005933168423063932,0.0,0.07414418450760046
Classical,2000,0.4302210044717735,0.504346650615662,5,0.0,0.01,True,0.0005933168423063895,,0.07412564614388845
PPI,2000,0.4986968796946547,0.5730305615348079,6,0.0,0.01,True,0.0007433568489137099,,0.07433368184015321
Tuned PPI,2000,0.4995298774351815,0.5724757044178226,6,0.0,0.01,True,0.000748413703910849,0.0,0.07294582698264107
Classical,2000,0.49953899680361796,0.5724665850493862,6,0.0,0.01,True,0.000748413703910849,,0.07292758824576823
PPI,2000,0.4830864370317999,0.5565488055690037,7,0.0,0.01,True,0.000562090490000875,,0.07346236853720378
Tuned PPI,2000,0.48305171033578115,0.5564682711279023,7,0.0,0.01,True,0.0005636010746959525,0.17845370749477033,0.07341656079212117
