method,p,n,trial,std,theta,error,error_max,error_min
Classical,100,1000,0,1.0,-0.028244144799708756,0.0014902169509083735,0.011386367531089332,5.2004149670140234e-09
PPI,100,1000,1,1.0,-0.028244144799708756,0.0014759854951164819,0.014359308836470235,4.710649614075249e-09
Classical,100,1000,1,1.0,-0.028244144799708756,0.0014759854951164933,0.014359308836470581,4.710649613930471e-09
PPI,100,1000,2,1.0,-0.028244144799708756,0.0011789344074652007,0.01004176011526399,2.818456012059682e-08
Classical,100,1000,2,1.0,-0.028244144799708756,0.0011789344074652102,0.010041760115264607,2.8184560120149492e-08
PPI,100,1000,3,1.0,-0.028244144799708756,0.0009673139931094353,0.007994397501264261,4.471512806438762e-08
Classical,100,1000,3,1.0,-0.028244144799708756,0.0009673139931094497,0.007994397501264261,4.47151280634779e-08
PPI,100,1000,4,1.0,-0.028244144799708756,0.0011113413264869302,0.010834185010561156,2.995002330331743e-07
Classical,100,1000,4,1.0,-0.028244144799708756,0.001111341326486956,0.010834185010561133,2.995002330314427e-07
PPI,100,1000,5,1.0,-0.028244144799708756,0.0010320464580402965,0.008032156341923646,1.8370372073741522e-11
Classical,100,1000,5,1.0,-0.028244144799708756,0.001032046458040301,0.008032156341923885,1.8370372081355105e-11
PPI,100,1000,6,1.0,-0.028244144799708756,0.0010065077078786257,0.010178122920980947,2.4012213796060146e-07
Classical,100,1000,6,1.0,-0.028244144799708756,0.0010065077078786357,0.010178122920981575,2.401221379596222e-07
PPI,100,1000,7,1.0,-0.028244144799708756,0.001025706228964557,0.008140491690093324,1.9152156875391824e-08
Classical,100,1000,7,1.0,-0.028244144799708756,0.0010257062289645512,0.008140491690093442,1.9152156874742672e-08
PPI,100,1000,8,1.0,-0.028244144799708756,0.001230994408398952,0.01267791361301143,1.499826224696132e-07
Classical,100,1000,8,1.0,-0.028244144799708756,0.001230994408398941,0.012677913613012055,1.4998262246978518e-07
PPI,100,1000,9,1.0,-0.028244144799708756,0.00099043502803914,0.007022783983887274,1.8014795572529052e-07
Classical,100,1000,9,1.0,-0.028244144799708756,0.0009904350280391448,0.007022783983887856,1.80147955725962e-07
PPI,200,1000,0,1.0,-0.029283022483304978,0.001180330129108982,0.016203554728996563,8.195783953976089e-08
Classical,200,1000,0,1.0,-0.029283022483304978,0.0011803301291089653,0.016203554728996802,8.195783953759959e-08
PPI,200,1000,1,1.0,-0.029283022483304978,0.0012661405603715619,0.013241630160798374,8.56747254145295e-08
Classical,200,1000,1,1.0,-0.029283022483304978,0.0012661405603715636,0.013241630160798707,8.567472541389583e-08
PPI,200,1000,2,1.0,-0.029283022483304978,0.001272939219662192,0.010677139629919091,4.250258033805848e-09
Classical,200,1000,2,1.0,-0.029283022483304978,0.0012729392196622058,0.010677139629918807,4.250258033834799e-09
PPI,200,1000,3,1.0,-0.029283022483304978,0.001293088185421421,0.012710415370865202,8.114370032466566e-11
Classical,200,1000,3,1.0,-0.029283022483304978,0.001293088185421427,0.012710415370864628,8.114370031666497e-11
