method,p,n,theta,error,error_max,error_min,trial,std
Classical,10,100,-0.10301139176973335,0.012332240926075757,0.053381881418427805,0.0002714445985157874,9.0,1.0
PPI,20,100,0.08760148861103867,0.005475584253335769,0.022280937212573383,7.265894002851267e-08,,
Classical,20,100,0.08760148861103867,0.005475584253335765,0.02228093721257325,7.265894002863238e-08,0.0,1.0
PPI,20,100,0.08760148861103867,0.010175416845272716,0.06766395723308595,0.00015701555772463634,,
Classical,20,100,0.08760148861103867,0.010175416845272716,0.06766395723308595,0.00015701555772463634,1.0,1.0
PPI,20,100,0.08760148861103867,0.023430558564923938,0.0794780613786485,0.00011862052169416572,,
Classical,20,100,0.08760148861103867,0.023430558564923938,0.0794780613786485,0.00011862052169416572,2.0,1.0
PPI,20,100,0.08760148861103867,0.011817578685406494,0.04661024262795497,2.5787900506273165e-07,,
Classical,20,100,0.08760148861103867,0.011817578685406505,0.046610242627955,2.5787900506273165e-07,3.0,1.0
PPI,20,100,0.08760148861103867,0.009900009958665695,0.0672904394967151,0.00021300298703457764,,
Classical,20,100,0.08760148861103867,0.009900009958665695,0.0672904394967151,0.00021300298703457926,4.0,1.0
PPI,20,100,0.08760148861103867,0.017035249749211834,0.10403068860333212,4.969716426990466e-05,,
Classical,20,100,0.08760148861103867,0.017035249749211827,0.10403068860333183,4.9697164269903095e-05,5.0,1.0
PPI,20,100,0.08760148861103867,0.009791189431673078,0.04164429261067297,3.921496339562538e-05,,
Classical,20,100,0.08760148861103867,0.009791189431673078,0.04164429261067297,3.921496339562538e-05,6.0,1.0
PPI,20,100,0.08760148861103867,0.01689874980334594,0.08735220070649032,2.052761106765689e-06,,
Classical,20,100,0.08760148861103867,0.016898749803345933,0.08735220070649025,2.052761106765689e-06,7.0,1.0
PPI,20,100,0.08760148861103867,0.00929825578906281,0.04040738211181199,0.0002856991500098625,,
Classical,20,100,0.08760148861103867,0.00929825578906281,0.04040738211181199,0.0002856991500098625,8.0,1.0
PPI,20,100,0.08760148861103867,0.01639413682310515,0.059860059693853815,0.0009431462935930224,,
Classical,20,100,0.08760148861103867,0.016394136823105154,0.059860059693853815,0.0009431462935930224,9.0,1.0
PPI,50,100,0.1624047554653561,0.017115628337013026,0.0982087197117114,8.878088390248028e-07,,
Classical,50,100,0.1624047554653561,0.017115628337013026,0.0982087197117114,8.878088390248028e-07,0.0,1.0
PPI,50,100,0.1624047554653561,0.026415013029409275,0.1837982625906702,2.6662759835658235e-06,,
Classical,50,100,0.1624047554653561,0.026415013029409275,0.1837982625906702,2.666275983565914e-06,1.0,1.0
PPI,50,100,0.1624047554653561,0.03263699390595095,0.2785211749872914,6.253605062970112e-06,,
Classical,50,100,0.1624047554653561,0.03263699390595094,0.2785211749872914,6.253605062970112e-06,2.0,1.0
PPI,50,100,0.1624047554653561,0.012325266414263484,0.10526421643556215,2.829307852558573e-07,,
Classical,50,100,0.1624047554653561,0.01232526641426348,0.105264216435562,2.8293078525621163e-07,3.0,1.0
PPI,50,100,0.1624047554653561,0.02483060177582706,0.14001409468975265,4.495400829074645e-06,,
Classical,50,100,0.1624047554653561,0.02483060177582706,0.14001409468975265,4.495400829075587e-06,4.0,1.0
PPI,50,100,0.1624047554653561,0.02910056715115865,0.11503573195555694,8.678622154653535e-05,,
Classical,50,100,0.1624047554653561,0.02910056715115865,0.11503573195555701,8.678622154653949e-05,5.0,1.0
PPI,50,100,0.1624047554653561,0.01673605884683669,0.14287233288164358,5.2996974661732127e-05,,
Classical,50,100,0.1624047554653561,0.01673605884683669,0.14287233288164358,5.2996974661732127e-05,6.0,1.0
PPI,50,100,0.1624047554653561,0.013306467567433797,0.0906966502431188,8.807269965324534e-06,,
Classical,50,100,0.1624047554653561,0.0133064675674338,0.0906966502431188,8.807269965324534e-06,7.0,1.0
PPI,50,100,0.1624047554653561,0.015136564801861329,0.10638793194431798,2.7818002877671307e-06,,
Classical,50,100,0.1624047554653561,0.015136564801861334,0.10638793194431798,2.78180028776639e-06,8.0,1.0
PPI,50,100,0.1624047554653561,0.02630608346364648,0.1309164755373299,2.0565867702711706e-09,,
Classical,50,100,0.1624047554653561,0.02630608346364648,0.1309164755373299,2.0565867702711706e-09,9.0,1.0
PPI,100,100,0.06795355334895492,0.7246927773151682,4.557538224386779,2.9388338903379942e-05,,
Classical,100,100,0.06795355334895492,0.7246927773151682,4.557538224386779,2.9388338903379942e-05,0.0,1.0
