method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
Tuned PPI,3000,0.46791884232007414,0.5887773455411849,8,0.0,0.01,True,0.002034189869751541,0.0,0.12085850322111075
Classical,3000,0.4679289147014444,0.5887672731598147,8,0.0,0.01,True,0.002034189869751541,,0.12083835845837032
PPI,3000,0.4003991203777548,0.5187788970101375,9,0.0,0.01,True,0.0015825290664222837,,0.11837977663238264
Tuned PPI,3000,0.40039910369814546,0.5187906651728441,9,0.0,0.01,True,0.0015828446063191472,0.8574066022589169,0.11839156147469865
Classical,3000,0.4005461597017834,0.5187142702191101,9,0.0,0.01,True,0.0015847468657153147,,0.11816811051732667
PPI,4000,0.43081836513577854,0.5381064340481663,0,0.0,0.01,True,0.001627006132915502,,0.10728806891238774
Tuned PPI,4000,0.43141712653968667,0.5371915199621217,0,0.0,0.01,True,0.0016305313462664584,0.0,0.105774393422435
Classical,4000,0.4314237378525084,0.5371849086492999,0,0.0,0.01,True,0.0016305313462664584,,0.10576117079679148
PPI,4000,0.4000286623155342,0.5049327926367866,1,0.0,0.01,True,0.003419987096815481,,0.1049041303212524
Tuned PPI,4000,0.40055033379079125,0.504120273871831,1,0.0,0.01,True,0.0034264704425042833,0.0,0.10356994008103976
Classical,4000,0.40055680731666693,0.5041138003459552,1,0.0,0.01,True,0.0034264704425042885,,0.10355699302928828
PPI,4000,0.44791439945105876,0.548754832338212,2,0.0,0.01,True,1.3209022768869687e-05,,0.10084043288715322
Tuned PPI,4000,0.4484340390344688,0.5484222711456574,2,0.0,0.01,True,1.429107249712447e-05,0.0,0.09998823211118862
Classical,4000,0.4484402886896036,0.5484160214905226,2,0.0,0.01,True,1.4291072497124754e-05,,0.09997573280091898
PPI,4000,0.451586032573768,0.5529816515173129,3,0.0,0.01,True,0.0005447011912199565,,0.10139561894354493
Tuned PPI,4000,0.45165236750489685,0.5530462121966435,3,0.0,0.01,True,0.0005434021557915833,0.579774857380568,0.10139384469174667
Classical,4000,0.4503270036197339,0.5545521697117183,3,0.0,0.01,True,0.0005416201290086624,,0.1042251660919844
PPI,4000,0.44004062322500825,0.543149149928747,4,0.0,0.01,True,0.00010533225338802747,,0.10310852670373871
Tuned PPI,4000,0.4396871939504618,0.5436778102041164,4,0.0,0.01,True,0.00010712325004267752,0.0,0.10399061625365463
Classical,4000,0.4396936937702419,0.5436713103843364,4,0.0,0.01,True,0.00010712325004267752,,0.10397761661409444
PPI,4000,0.4545108608183961,0.5624440110041535,5,0.0,0.01,True,0.0005733548434684972,,0.10793315018575744
Tuned PPI,4000,0.4543254515585191,0.5627358805181786,5,0.0,0.01,True,0.0005796874028402312,0.0,0.10841042895965947
Classical,4000,0.45433222763386016,0.5627291044428375,5,0.0,0.01,True,0.0005796874028402312,,0.10839687680897736
PPI,4000,0.39573542367131415,0.5021150757394084,6,0.0,0.01,True,0.0014436469537545003,,0.10637965206809424
Tuned PPI,4000,0.39580602209038607,0.5021618450335512,6,0.0,0.01,True,0.0014409296826837048,0.4547444273938163,0.10635582294316515
Classical,4000,0.3948701985976017,0.5031955534746456,6,0.0,0.01,True,0.001438666318285551,,0.10832535487704392
PPI,4000,0.4458156880295265,0.5527992981393728,7,0.0,0.01,True,2.523267393232017e-05,,0.1069836101098463
Tuned PPI,4000,0.4458156880295265,0.5527992981393728,7,0.0,0.01,True,2.523267393232017e-05,1.0,0.1069836101098463
Classical,4000,0.44644190947105333,0.5520723292546333,7,0.0,0.01,True,2.665358490543932e-05,,0.10563041978358001
PPI,4000,0.40442978805825275,0.5070698672190289,8,0.0,0.01,True,0.00147501266894549,,0.10264007916077617
Tuned PPI,4000,0.4044361858762292,0.5076064545502482,8,0.0,0.01,True,0.0014621993479823907,0.0,0.10317026867401902
Classical,4000,0.4044426344210807,0.5076000060053967,8,0.0,0.01,True,0.0014621993479823907,,0.10315737158431598
PPI,4000,0.46083935135063353,0.5682297473539115,9,0.0,0.01,True,0.0007271498712438256,,0.10739039600327799
Tuned PPI,4000,0.46094521277358547,0.5683508988042948,9,0.0,0.01,True,0.0007210250475820076,0.12346868028099937,0.10740568603070932
Classical,4000,0.4620904971572568,0.5672375915779093,9,0.0,0.01,True,0.0007201672751095256,,0.10514709442065251
PPI,5000,0.49413645708472675,0.5883171825146974,0,0.0,0.01,True,0.0017820723705156381,,0.09418072542997069
Tuned PPI,5000,0.49412674901066417,0.5882886904951662,0,0.0,0.01,True,0.0017788100290991276,0.7663893565203649,0.09416194148450202
Classical,5000,0.4929569188408238,0.5893332004111316,0,0.0,0.01,True,0.0017681331667807245,,0.09637628157030775
PPI,5000,0.42738721490107157,0.5201010483193168,1,0.0,0.01,True,0.00035174314218159496,,0.09271383341824524
Tuned PPI,5000,0.42739666153179784,0.5203356840880126,1,0.0,0.01,True,0.0003491031543815426,0.0,0.09293902255621472
Classical,5000,0.4274013087152965,0.520331036904514,1,0.0,0.01,True,0.00034910315438153975,,0.09292972818921746
PPI,5000,0.4738380994760333,0.566773376399586,2,0.0,0.01,True,0.0011350882425319934,,0.09293527692355275
Tuned PPI,5000,0.473561424277427,0.5669108931063603,2,0.0,0.01,True,0.001136200194102676,0.0,0.09334946882893336
Classical,5000,0.47356609198426547,0.5669062253995218,2,0.0,0.01,True,0.001136200194102676,,0.09334013341525638
PPI,5000,0.43429960569868487,0.5275301939447352,3,0.0,0.01,True,0.002012110597381826,,0.09323058824605035
Tuned PPI,5000,0.4343374116899231,0.5275800633228642,3,0.0,0.01,True,0.002026330535836062,0.30228307777727365,0.0932426516329411
Classical,5000,0.43523023890496476,0.5267252211124198,3,0.0,0.01,True,0.0020325110139393036,,0.09149498220745506
PPI,5000,0.4558705857670022,0.5520839416706618,4,0.0,0.01,True,5.916965801897005e-05,,0.09621335590365959
Tuned PPI,5000,0.4558705857670022,0.5520839416706618,4,0.0,0.01,True,5.916965801897005e-05,1.0,0.09621335590365959
Classical,5000,0.4575954835832874,0.5502395560767293,4,0.0,0.01,True,5.958776139896948e-05,,0.09264407249344186
PPI,5000,0.45310196093958577,0.5456818130612446,5,0.0,0.01,True,4.020918900762956e-05,,0.09257985212165887
Tuned PPI,5000,0.45310196093958577,0.5456818130612446,5,0.0,0.01,True,4.020918900762956e-05,1.0,0.09257985212165887
Classical,5000,0.45135126040057766,0.5474807235597821,5,0.0,0.01,True,4.03469454350593e-05,,0.0961294631592044
PPI,5000,0.40910518453202516,0.5010914804993217,6,0.0,0.01,True,0.0014198758658538256,,0.09198629596729657
Tuned PPI,5000,0.4090180282945992,0.501101857654286,6,0.0,0.01,True,0.0014276878248899159,0.0,0.09208382935968684
Classical,5000,0.40902263271629985,0.5010972532325854,6,0.0,0.01,True,0.0014276878248899159,,0.09207462051628551
PPI,5000,0.4982512066777959,0.5916529239217617,7,0.0,0.01,True,0.0014907624153945712,,0.09340171724396584
Tuned PPI,5000,0.4986199175015128,0.5908848821910112,7,0.0,0.01,True,0.001484599138357203,0.0,0.09226496468949841
