method,p,n,theta,error,error_max,error_min,trial,std
Classical,500,1000,-0.0017597686189995817,0.002062138271232783,0.027955827169994577,1.3816506731466897e-08,8.0,1.0
PPI,500,1000,-0.0017597686189995817,0.0021467672284466105,0.023836200832312478,6.590970955163448e-08,,
Classical,500,1000,-0.0017597686189995817,0.0021467672284466105,0.023836200832312478,6.590970955163627e-08,9.0,1.0
PPI,1000,1000,0.00019833794846628905,1.4765285668241297,17.304497223525914,4.349579486245467e-09,,
Classical,1000,1000,0.00019833794846628905,1.4765285668241297,17.304497223525914,4.349579486245467e-09,0.0,1.0
PPI,1000,1000,0.00019833794846628905,17604.14546463216,170615.00370098025,0.0008913221104553643,,
Classical,1000,1000,0.00019833794846628905,17604.14546463216,170615.00370098025,0.0008913221104553643,1.0,1.0
PPI,1000,1000,0.00019833794846628905,1.8040844843473263,19.629478833222823,3.451844322078743e-06,,
Classical,1000,1000,0.00019833794846628905,1.8040844843473263,19.629478833222823,3.451844322078743e-06,2.0,1.0
PPI,1000,1000,0.00019833794846628905,1.4910554218661003,13.096656516911244,1.3536927103036288e-08,,
Classical,1000,1000,0.00019833794846628905,1.4910554218661003,13.096656516911244,1.3536927103036288e-08,3.0,1.0
PPI,1000,1000,0.00019833794846628905,0.4477714109621672,6.8083387553320165,3.4992442040360124e-07,,
Classical,1000,1000,0.00019833794846628905,0.4477714109621672,6.8083387553320165,3.4992442040360124e-07,4.0,1.0
PPI,1000,1000,0.00019833794846628905,2.2840500041821463,30.16726044074275,1.7614418482779302e-07,,
Classical,1000,1000,0.00019833794846628905,2.2840500041821463,30.16726044074275,1.7614418482779302e-07,5.0,1.0
PPI,1000,1000,0.00019833794846628905,0.383790123599582,5.293392147484748,6.620618889909601e-06,,
Classical,1000,1000,0.00019833794846628905,0.383790123599582,5.293392147484748,6.620618889909601e-06,6.0,1.0
PPI,1000,1000,0.00019833794846628905,8.156677262958157,83.39614017956315,1.2928644866654448e-06,,
Classical,1000,1000,0.00019833794846628905,8.156677262958157,83.39614017956315,1.2928644866654448e-06,7.0,1.0
PPI,1000,1000,0.00019833794846628905,21.05989874817939,256.07949991498435,0.0001132336402914818,,
Classical,1000,1000,0.00019833794846628905,21.05989874817939,256.07949991498435,0.0001132336402914818,8.0,1.0
PPI,1000,1000,0.00019833794846628905,0.40972532987556715,4.428169867276314,1.6791526119844125e-05,,
Classical,1000,1000,0.00019833794846628905,0.40972532987556715,4.428169867276314,1.6791526119844125e-05,9.0,1.0
