method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,4000,0.49732879623279946,0.5027161200148367,1,0.0,0.01,True,5.637756006125951e-08,,0.005387323782037212
Tuned PPI,4000,0.49737051921595776,0.5026922315488626,1,0.0,0.01,True,4.220438907155976e-08,0.0,0.005321712332904793
Classical,4000,0.4973708518437691,0.5026918989210513,1,0.0,0.01,True,4.220438907155976e-08,,0.005321047077282148
PPI,4000,0.496462274379262,0.5017113310025879,2,0.0,0.01,True,8.29240868286142e-07,,0.005249056623325921
Tuned PPI,4000,0.49658561240819366,0.5017445134239592,2,0.0,0.01,True,7.475354443797311e-07,0.0,0.005158901015765549
Classical,4000,0.4965859348596616,0.5017441909724912,2,0.0,0.01,True,7.475354443797311e-07,,0.005158256112829607
PPI,4000,0.4959738651238484,0.5013162294722593,3,0.0,0.01,True,1.0662073199872603e-06,,0.0053423643484109
Tuned PPI,4000,0.49599738119048375,0.5015266325692249,3,0.0,0.01,True,8.983998055449786e-07,0.0,0.005529251378741162
Classical,4000,0.49599772679029625,0.5015262869694125,3,0.0,0.01,True,8.983998055449099e-07,,0.0055285601791162375
PPI,4000,0.49651874913991256,0.5016417859575374,4,0.0,0.01,True,4.307686342208898e-07,,0.005123036817624826
Tuned PPI,4000,0.49644257837314903,0.5015531126366746,4,0.0,0.01,True,5.569667918466398e-07,0.02797869713741326,0.005110534263525535
Classical,4000,0.4964796795091194,0.501511266622388,4,0.0,0.01,True,5.613286221729885e-07,,0.005031587113268565
PPI,4000,0.49896415362907687,0.504080775428445,5,0.0,0.01,True,2.4345866253429505e-06,,0.005116621799368115
Tuned PPI,4000,0.4990360945293392,0.504277810884939,5,0.0,0.01,True,2.4046477539188145e-06,0.0,0.005241716355599724
Classical,4000,0.49903642215708943,0.5042774832571887,5,0.0,0.01,True,2.4046477539188145e-06,,0.0052410611000992535
PPI,4000,0.4951793942244144,0.5005421736420052,6,0.0,0.01,True,3.3941604043956766e-06,,0.005362779417590724
Tuned PPI,4000,0.49515606804366086,0.5005125255836526,6,0.0,0.01,True,3.661283166161332e-06,0.30213839430479705,0.005356457539991699
Classical,4000,0.495187115623681,0.5004585428666186,6,0.0,0.01,True,3.782815557167266e-06,,0.00527142724293761
PPI,4000,0.49534140030634327,0.5005273026247185,7,0.0,0.01,True,2.1478933419532688e-06,,0.0051859023183751796
Tuned PPI,4000,0.4953518382467913,0.5005182420087748,7,0.0,0.01,True,2.1385143905968836e-06,0.11933378807850593,0.005166403761983518
Classical,4000,0.4953413246287494,0.5005289422597871,7,0.0,0.01,True,2.1374853690424677e-06,,0.005187617631037644
PPI,4000,0.5005302882246685,0.5059538486087414,8,0.0,0.01,False,6.3268059746315994e-06,,0.0054235603840728785
Tuned PPI,4000,0.5004358206354659,0.5058298107399194,8,0.0,0.01,False,5.926947262385119e-06,0.013216643540667058,0.0053939901044535166
Classical,4000,0.5004336357851464,0.5058290690018119,8,0.0,0.01,False,5.921681345006451e-06,,0.005395433216665468
PPI,4000,0.4990983001232447,0.5042171454880808,9,0.0,0.01,True,1.3846220209904001e-06,,0.005118845364836144
Tuned PPI,4000,0.49920408537032673,0.5043069687648675,9,0.0,0.01,True,1.578302333002158e-06,0.33173505536267195,0.005102883394540736
Classical,4000,0.49930408236995594,0.504304074276773,9,0.0,0.01,True,1.6840637690298535e-06,,0.004999991906817103
PPI,5000,0.4993465635455838,0.5041713279547944,0,0.0,0.01,True,1.9325132439032213e-06,,0.004824764409210536
Tuned PPI,5000,0.49954140938578306,0.504348558622739,0,0.0,0.01,True,2.1396369835309827e-06,0.0,0.00480714923695591
Classical,5000,0.499541649755264,0.5043483182532581,0,0.0,0.01,True,2.1396369835309827e-06,,0.004806668497994104
PPI,5000,0.49464703539086374,0.4994122109877108,1,0.0,0.01,False,4.951352121181197e-06,,0.004765175596847082
Tuned PPI,5000,0.49480838881847566,0.499456959601861,1,0.0,0.01,False,4.630034601536863e-06,0.0,0.00464857078338532
Classical,5000,0.49480862125863745,0.4994567271616992,1,0.0,0.01,False,4.630034601536863e-06,,0.00464810590306175
PPI,5000,0.5015695355904216,0.5063361772003406,2,0.0,0.01,False,1.186516622150368e-05,,0.00476664160991902
Tuned PPI,5000,0.501568756181666,0.5063162202692104,2,0.0,0.01,False,1.2064465793962547e-05,0.17150552843675268,0.004747464087544451
Classical,5000,0.5015307433215649,0.5063499405274273,2,0.0,0.01,False,1.2106600053993772e-05,,0.0048191972058624355
PPI,5000,0.498774923507063,0.5034444074947592,3,0.0,0.01,True,3.898903750764605e-06,,0.004669483987696177
Tuned PPI,5000,0.4988305628946769,0.5035438226299048,3,0.0,0.01,True,3.3947999749285927e-06,0.0,0.004713259735227904
Classical,5000,0.498830798569448,0.5035435869551337,3,0.0,0.01,True,3.3947999749285927e-06,,0.004712788385685673
PPI,5000,0.4963183191883549,0.5009012708803463,4,0.0,0.01,True,1.2355830580020844e-06,,0.00458295169199141
Tuned PPI,5000,0.49653289353896785,0.5010997298538079,4,0.0,0.01,True,8.557007333656449e-07,0.08456063294937227,0.0045668363148400615
Classical,5000,0.4964652751163816,0.5012055008406928,4,0.0,0.01,True,8.243390209303528e-07,,0.004740225724311209
PPI,5000,0.49811218965938936,0.5026869802429644,5,0.0,0.01,True,1.748924756605875e-07,,0.004574790583575072
Tuned PPI,5000,0.49815732589650347,0.5026994248623713,5,0.0,0.01,True,2.8616666619139086e-07,0.0,0.004542098965867825
Classical,5000,0.4981575530128082,0.5026991977460666,5,0.0,0.01,True,2.8616666619135623e-07,,0.004541644733258465
PPI,5000,0.4984269098958059,0.5030926924667147,6,0.0,0.01,True,3.071980199639854e-06,,0.004665782570908827
Tuned PPI,5000,0.4986135838691952,0.5032569314928574,6,0.0,0.01,True,2.734782951214628e-06,0.0,0.004643347623662253
Classical,5000,0.4986138160481859,0.5032566993138667,6,0.0,0.01,True,2.734782951214628e-06,,0.004642883265680853
PPI,5000,0.4964294698811761,0.5011319207987947,7,0.0,0.01,True,1.1093491258596418e-06,,0.004702450917618561
Tuned PPI,5000,0.4963128642567667,0.5010012526482107,7,0.0,0.01,True,1.1196173222232554e-06,0.08509997771683425,0.004688388391444032
Classical,5000,0.49631715187635256,0.5009739647092135,7,0.0,0.01,True,1.123291530606353e-06,,0.004656812832860957
PPI,5000,0.497570933964097,0.5021929462313792,8,0.0,0.01,True,2.2939445842629776e-06,,0.004622012267282205
Tuned PPI,5000,0.4976244338242856,0.5022341093220899,8,0.0,0.01,True,1.958805534022703e-06,0.2359983969332846,0.0046096754978042775
Classical,5000,0.49761665614299133,0.5022711281784964,8,0.0,0.01,True,1.8609519748265867e-06,,0.004654472035505064
PPI,5000,0.4962955193491705,0.5010977943436962,9,0.0,0.01,True,2.3317808946356506e-06,,0.004802274994525679
Tuned PPI,5000,0.4963357172047512,0.501116657486815,9,0.0,0.01,True,2.4716967888269386e-06,0.23304165468485666,0.0047809402820637725
Classical,5000,0.496321008982603,0.5011493114982596,9,0.0,0.01,True,2.5163811224625533e-06,,0.0048283025156565795
PPI,1000,0.4935937699326506,0.5082071148600477,0,0.0,0.1,True,1.8294771999805938e-05,,0.014613344927397076
Tuned PPI,1000,0.4965071741972496,0.5072055383240036,0,0.0,0.1,True,2.1056152170416092e-05,0.0,0.010698364126754012
Classical,1000,0.4965098494572636,0.5072028630639897,0,0.0,0.1,True,2.1056152170416092e-05,,0.010693013606726032
PPI,1000,0.49780521657291293,0.512288269879538,1,0.0,0.1,True,5.067787378958296e-05,,0.014483053306625082
Tuned PPI,1000,0.49598203997080786,0.5061526121563292,1,0.0,0.1,True,1.591769277989921e-06,0.015835555083118187,0.010170572185521365
Classical,1000,0.49609892721625676,0.5059076644429302,1,0.0,0.1,True,1.364823311434648e-06,,0.00980873722667347
PPI,1000,0.5013197222437257,0.5153688223060481,2,0.0,0.1,False,3.6740314206467726e-05,,0.014049100062322406
Tuned PPI,1000,0.5008104986518964,0.5110648090108227,2,0.0,0.1,False,1.762980885006483e-05,0.0,0.010254310358926322
Classical,1000,0.5008130628707012,0.511062244792018,2,0.0,0.1,False,1.762980885006483e-05,,0.010249181921316852
PPI,1000,0.49559198057887005,0.5094561922928471,3,0.0,0.1,True,4.078851503943026e-06,,0.01386421171397706
Tuned PPI,1000,0.49414364252136006,0.5041284436829241,3,0.0,0.1,True,2.6466053586076466e-06,0.01962407076862427,0.009984801161564028
Classical,1000,0.4939251991425311,0.5042112509242969,3,0.0,0.1,True,2.8579726400130403e-06,,0.010286051781765781
