method,p,n,theta,error,error_max,error_min,trial,std
PPI,10,100,0.18152982010536936,0.01292829371083061,0.05071700472282055,1.170098210500261e-08,,
Classical,10,100,0.18152982010536936,0.012928293710830882,0.05071700472282248,1.170098210598738e-08,13.0,1.0
PPI,10,100,0.18152982010536936,0.0058664321498829814,0.017583142818430535,0.0004857142916083403,,
Classical,10,100,0.18152982010536936,0.005866432149883001,0.01758314281843055,0.00048571429160828704,14.0,1.0
PPI,10,100,0.18152982010536936,0.009063155344373228,0.025656321830657535,4.6205272890194026e-05,,
Classical,10,100,0.18152982010536936,0.009063155344373314,0.025656321830657643,4.620527289019365e-05,15.0,1.0
PPI,10,100,0.18152982010536936,0.010222292213375237,0.04309516736866605,0.0001759253099813206,,
Classical,10,100,0.18152982010536936,0.010222292213375252,0.043095167368665886,0.00017592530998133458,16.0,1.0
PPI,10,100,0.18152982010536936,0.012218784729522343,0.04640961877829461,0.00038336450640416196,,
Classical,10,100,0.18152982010536936,0.01221878472952241,0.04640961877829528,0.00038336450640415323,17.0,1.0
PPI,10,100,0.18152982010536936,0.005569763923743956,0.018356889845390745,6.891657975378077e-05,,
Classical,10,100,0.18152982010536936,0.005569763923744049,0.018356889845390502,6.891657975374528e-05,18.0,1.0
PPI,10,100,0.18152982010536936,0.009523920533879378,0.03023278587513109,0.00018952927668593214,,
Classical,10,100,0.18152982010536936,0.009523920533879345,0.030232785875131073,0.00018952927668591053,19.0,1.0
PPI,10,100,0.18152982010536936,0.014911811696442272,0.04083441837762702,7.513225579906923e-06,,
Classical,10,100,0.18152982010536936,0.014911811696442314,0.040834418377627246,7.513225579909358e-06,20.0,1.0
PPI,10,100,0.18152982010536936,0.008356225153005355,0.039366267099087644,1.9470757062590404e-05,,
Classical,10,100,0.18152982010536936,0.008356225153005364,0.03936626709908748,1.9470757062592976e-05,21.0,1.0
PPI,10,100,0.18152982010536936,0.017340844628877423,0.060718878876357754,1.2533388051032674e-05,,
Classical,10,100,0.18152982010536936,0.017340844628877326,0.06071887887635778,1.2533388051023535e-05,22.0,1.0
PPI,10,100,0.18152982010536936,0.010746208511918516,0.038390885453134904,4.716685479262392e-06,,
Classical,10,100,0.18152982010536936,0.01074620851191849,0.038390885453135036,4.716685479262098e-06,23.0,1.0
PPI,10,100,0.18152982010536936,0.007792027945708727,0.03892646729257621,4.104254743138187e-06,,
Classical,10,100,0.18152982010536936,0.0077920279457086945,0.038926467292575866,4.104254743141449e-06,24.0,1.0
PPI,10,100,0.18152982010536936,0.008824999915492316,0.04507841644515515,9.581763983010579e-05,,
Classical,10,100,0.18152982010536936,0.008824999915492295,0.045078416445155006,9.581763983011014e-05,25.0,1.0
PPI,10,100,0.18152982010536936,0.011325041191241732,0.024457567179757153,0.0036643599359344426,,
Classical,10,100,0.18152982010536936,0.011325041191241749,0.02445756717975698,0.0036643599359343394,26.0,1.0
PPI,10,100,0.18152982010536936,0.007838113169580413,0.027619726805735066,0.00013703027836542357,,
Classical,10,100,0.18152982010536936,0.00783811316958039,0.027619726805735243,0.00013703027836540278,27.0,1.0
PPI,10,100,0.18152982010536936,0.01698522283292635,0.06010477526153187,7.367900097684387e-05,,
Classical,10,100,0.18152982010536936,0.016985222832926333,0.06010477526153192,7.36790009768353e-05,28.0,1.0
PPI,10,100,0.18152982010536936,0.00806791906796422,0.03849274644928059,0.00012983003185406092,,
Classical,10,100,0.18152982010536936,0.008067919067964257,0.038492746449281114,0.00012983003185407355,29.0,1.0
PPI,20,100,0.046859679271604074,0.00996450683979914,0.057298832405915844,4.096027847388702e-06,,
Classical,20,100,0.046859679271604074,0.009964506839799025,0.05729883240591555,4.0960278473861184e-06,0.0,1.0
PPI,20,100,0.046859679271604074,0.01739395680463431,0.07206325424909789,0.0001744910839229343,,
Classical,20,100,0.046859679271604074,0.017393956804634327,0.07206325424909825,0.00017449108392288517,1.0,1.0
PPI,20,100,0.046859679271604074,0.011034722470583883,0.02626310406214259,0.0007651261759263522,,
Classical,20,100,0.046859679271604074,0.011034722470583893,0.0262631040621425,0.0007651261759263277,2.0,1.0
PPI,20,100,0.046859679271604074,0.02482046517103039,0.09727065828017648,9.017210353809177e-05,,
Classical,20,100,0.046859679271604074,0.02482046517103036,0.0972706582801775,9.017210353809177e-05,3.0,1.0
PPI,20,100,0.046859679271604074,0.012140420397071021,0.09109888864001076,8.835918917439289e-06,,
Classical,20,100,0.046859679271604074,0.012140420397070962,0.09109888864000905,8.835918917443908e-06,4.0,1.0
PPI,20,100,0.046859679271604074,0.00825258740765346,0.03982129809355006,7.588729670725975e-05,,
Classical,20,100,0.046859679271604074,0.008252587407653413,0.03982129809354911,7.588729670726748e-05,5.0,1.0
PPI,20,100,0.046859679271604074,0.005826936454676594,0.02137098230904228,1.8075587231669225e-05,,
Classical,20,100,0.046859679271604074,0.0058269364546765946,0.02137098230904228,1.8075587231671583e-05,6.0,1.0
