method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
Tuned PPI,5000,0.4181753274360077,0.524678893428248,8,0.0,0.01,True,0.001291506158288496,0.9009543865842153,0.10650356599224031
Classical,5000,0.19644505714463864,0.6597146023224417,8,0.0,0.01,True,0.03670292266044161,,0.46326954517780305
PPI,5000,0.4246343180414406,0.5319078410998133,9,0.0,0.01,True,0.0009694827162877946,,0.10727352305837268
Tuned PPI,5000,0.42037757050944685,0.5250414493637485,9,0.0,0.01,True,0.0007383268619830653,0.9353840498813333,0.10466387885430167
Classical,5000,0.15973417040401258,0.624665673292975,9,0.0,0.01,True,0.01502319592112442,,0.46493150288896234
PPI,1000,0.447746806529098,0.5520949697485957,0,0.0,0.1,True,0.0007626333233158538,,0.10434816321949775
Tuned PPI,1000,0.4723210144817671,0.6148631629181425,0,0.0,0.1,True,0.004453652109132551,0.8882485207734386,0.14254214843637536
Classical,1000,0.396274980979029,1.3851439316973764,0,0.0,0.1,True,0.17252626441769486,,0.9888689507183474
PPI,1000,0.4469221061110152,0.5511665102283428,1,0.0,0.1,True,0.0008389507597710673,,0.10424440411732766
Tuned PPI,1000,0.4469221061110152,0.5511665102283428,1,0.0,0.1,True,0.0008389507597710673,1.0,0.10424440411732766
Classical,1000,0.35694840950456264,1.4061962404043085,1,0.0,0.1,True,0.13335880073391704,,1.0492478308997457
PPI,1000,0.44784757548762927,0.5521182777630543,2,0.0,0.1,True,0.0003067687267862364,,0.10427070227542506
Tuned PPI,1000,0.45126530218732946,0.5586914684703879,2,0.0,0.1,True,0.001105360968654578,0.960415009127802,0.1074261662830584
Classical,1000,0.1144560817730853,1.1379013266326814,2,0.0,0.1,True,0.1762417498192693,,1.023445244859596
PPI,1000,0.450761990994296,0.5550390382085688,3,0.0,0.1,True,0.0007891562096634276,,0.10427704721427283
Tuned PPI,1000,0.39179502247028525,0.5540773671820816,3,0.0,0.1,True,0.0021668992180797777,0.8581060887188114,0.1622823447117963
Classical,1000,-0.22703435635106473,0.8104871747717298,3,0.0,0.1,True,0.03849128778056951,,1.0375215311227945
PPI,1000,0.4448552946733507,0.5492599622388079,4,0.0,0.1,True,0.0006147482458725441,,0.10440466756545719
Tuned PPI,1000,0.4827618435895644,0.6378704310206482,4,0.0,0.1,True,0.0018479772010020275,0.8703264601787423,0.1551085874310838
Classical,1000,0.4700857537572124,1.4996874351620888,4,0.0,0.1,True,0.13301392014315258,,1.0296016814048765
PPI,1000,0.443922437156723,0.548208752302217,5,0.0,0.1,True,0.0006647332868868213,,0.10428631514549397
Tuned PPI,1000,0.44282982122456993,0.5484860091405807,5,0.0,0.1,True,0.0010898552692228012,0.9700852077403418,0.10565618791601072
Classical,1000,-0.010396346922164956,0.9752714857051809,5,0.0,0.1,True,0.07175611427843852,,0.9856678326273458
PPI,1000,0.4470685794695245,0.5513069735939414,6,0.0,0.1,True,0.0006215608548306041,,0.10423839412441693
Tuned PPI,1000,0.44857056705426557,0.5523579693530224,6,0.0,0.1,True,0.0006406248326179906,0.994014691765773,0.10378740229875683
Classical,1000,0.18575982091744725,1.2391573978237642,6,0.0,0.1,True,0.03050285247983711,,1.0533975769063169
