method,p,n,trial,sigma,theta,error,error_max,error_min
Debias_Lasso,100,50,2,2.0,-0.052381714827198424,0.020079557875959372,0.17237718875793234,1.3952971583921951e-05
Debias_ElasticNet,100,50,2,2.0,-0.052381714827198424,0.020079557875959372,0.17237718875793234,1.395297158392278e-05
Debias_Ridge,100,50,2,2.0,-0.052381714827198424,0.034804656492318765,0.22438201212212977,2.8660221683756486e-06
Imputed,100,50,3,2.0,-0.052381714827198424,0.017240170446819424,0.1685802557642262,4.543494015541985e-07
Classical,100,50,3,2.0,-0.052381714827198424,0.16047680422531818,0.7947409350787477,1.797681300911819e-05
PPI_lambda1,100,50,3,2.0,-0.052381714827198424,0.06785781994392608,0.3705636600255272,8.567937906085197e-05
PPI_tuned,100,50,3,2.0,-0.052381714827198424,0.06785781994392608,0.3705636600255272,8.567937906085197e-05
Debias_Lasso,100,50,3,2.0,-0.052381714827198424,0.019140993567858155,0.22476769439412667,1.678856354887731e-06
Debias_ElasticNet,100,50,3,2.0,-0.052381714827198424,0.018261069812425236,0.20090666823855355,3.132379895222285e-10
Debias_Ridge,100,50,3,2.0,-0.052381714827198424,0.048202697615276034,0.3053930314865756,4.10389906741068e-06
Imputed,100,50,4,2.0,-0.052381714827198424,0.019334568462570315,0.08622879696891972,6.619972504925151e-07
Classical,100,50,4,2.0,-0.052381714827198424,0.21008467327459265,1.1522500258112036,1.7000220937062878e-05
PPI_lambda1,100,50,4,2.0,-0.052381714827198424,0.042830633301039416,0.2929354014964038,4.633387580821956e-07
PPI_tuned,100,50,4,2.0,-0.052381714827198424,0.03845673967042267,0.2752057803799569,6.307555311563249e-07
Debias_Lasso,100,50,4,2.0,-0.052381714827198424,0.019089845094657103,0.09451268156362472,3.9410328446084555e-07
Debias_ElasticNet,100,50,4,2.0,-0.052381714827198424,0.01902534677012573,0.09427742934889982,4.024308362763581e-07
Debias_Ridge,100,50,4,2.0,-0.052381714827198424,0.03074152544301685,0.23984154407238398,4.543366942581509e-06
Imputed,100,50,5,2.0,-0.052381714827198424,0.020587413085351655,0.11423365163082709,2.1848566337786625e-07
Classical,100,50,5,2.0,-0.052381714827198424,0.1306665014879312,0.8259697576902062,2.9103513511699396e-05
PPI_lambda1,100,50,5,2.0,-0.052381714827198424,0.05993433210242198,0.4043020452401836,0.00013060563741129326
PPI_tuned,100,50,5,2.0,-0.052381714827198424,0.05993433210242198,0.4043020452401836,0.00013060563741129326
Debias_Lasso,100,50,5,2.0,-0.052381714827198424,0.021788238633046016,0.12685390122181056,1.5854679382299195e-05
Debias_ElasticNet,100,50,5,2.0,-0.052381714827198424,0.021788238633046016,0.12685390122181056,1.5854679382299195e-05
Debias_Ridge,100,50,5,2.0,-0.052381714827198424,0.04256481049050897,0.2143467656580344,1.4155392814682181e-06
Imputed,100,50,6,2.0,-0.052381714827198424,0.018667884651765408,0.10304779153757307,2.522312407334683e-06
Classical,100,50,6,2.0,-0.052381714827198424,0.205338903678885,2.1321217456382966,3.025037979330939e-05
PPI_lambda1,100,50,6,2.0,-0.052381714827198424,0.07470172822138108,0.4615656605675799,5.661818383345826e-06
PPI_tuned,100,50,6,2.0,-0.052381714827198424,0.06885168227382851,0.41556149162362066,5.15579005487351e-08
Debias_Lasso,100,50,6,2.0,-0.052381714827198424,0.027412384711114745,0.38332420064552913,8.633958454222293e-06
Debias_ElasticNet,100,50,6,2.0,-0.052381714827198424,0.02513647404447985,0.22475700502803167,1.143429771043909e-09
Debias_Ridge,100,50,6,2.0,-0.052381714827198424,0.047175527746959184,0.24618122027560468,1.2881377730902723e-05
Imputed,100,50,7,2.0,-0.052381714827198424,0.016741521419590396,0.16166135112306798,6.3421327153951e-06
Classical,100,50,7,2.0,-0.052381714827198424,0.2077354886029635,1.4041832048352727,8.908473310566193e-06
PPI_lambda1,100,50,7,2.0,-0.052381714827198424,0.04711741734735948,0.3388567967462939,7.954152123619046e-06
PPI_tuned,100,50,7,2.0,-0.052381714827198424,0.04711741734735948,0.3388567967462939,7.954152123619046e-06
Debias_Lasso,100,50,7,2.0,-0.052381714827198424,0.0173638993546959,0.17914747962770144,2.9674401338536993e-05
Debias_ElasticNet,100,50,7,2.0,-0.052381714827198424,0.0173638993546959,0.17914747962770144,2.9674401338536993e-05
Debias_Ridge,100,50,7,2.0,-0.052381714827198424,0.03961575278527155,0.2551389403956614,9.541198286481605e-06
Imputed,100,50,8,2.0,-0.052381714827198424,0.020641729331517974,0.1012783384533543,3.541060897239374e-05
Classical,100,50,8,2.0,-0.052381714827198424,0.22141536898281397,1.2058436790095486,8.379195613015254e-06
PPI_lambda1,100,50,8,2.0,-0.052381714827198424,0.05263634667971333,0.37070954923497873,3.3810487879257464e-06
PPI_tuned,100,50,8,2.0,-0.052381714827198424,0.05263634667971333,0.37070954923497873,3.3810487879257464e-06
Debias_Lasso,100,50,8,2.0,-0.052381714827198424,0.02067534826690298,0.10021014707352496,1.6897858700590598e-05
Debias_ElasticNet,100,50,8,2.0,-0.052381714827198424,0.02067534826690298,0.10021014707352496,1.6897858700590598e-05
Debias_Ridge,100,50,8,2.0,-0.052381714827198424,0.04220922154338573,0.2588634881591199,6.168968425807625e-06
Imputed,100,50,9,2.0,-0.052381714827198424,0.01748770669516132,0.09812158045865511,4.0675316280946195e-07
Classical,100,50,9,2.0,-0.052381714827198424,0.19952669887688668,1.3593188220790144,7.093933109767532e-05
PPI_lambda1,100,50,9,2.0,-0.052381714827198424,0.03639204603717419,0.20938046184227732,2.997346775806721e-06
PPI_tuned,100,50,9,2.0,-0.052381714827198424,0.03639204603717419,0.20938046184227732,2.997346775806721e-06
Debias_Lasso,100,50,9,2.0,-0.052381714827198424,0.02886862664173981,0.21200573806297698,3.1126184936772e-07
Debias_ElasticNet,100,50,9,2.0,-0.052381714827198424,0.027094562252893546,0.19099821271462636,4.0567743180571443e-07
Debias_Ridge,100,50,9,2.0,-0.052381714827198424,0.031575391045766336,0.1744359721117868,2.0975374411726173e-06
Imputed,100,50,10,2.0,-0.052381714827198424,0.019663962529915712,0.13707131765779665,1.2992058267929366e-05
Classical,100,50,10,2.0,-0.052381714827198424,0.17212001839760419,0.9728351930262086,1.857481823360791e-06
PPI_lambda1,100,50,10,2.0,-0.052381714827198424,0.040298732729474956,0.26285039992316417,1.5811808725805593e-08
PPI_tuned,100,50,10,2.0,-0.052381714827198424,0.03428723616309839,0.18961463264935263,6.579029181680186e-07
Debias_Lasso,100,50,10,2.0,-0.052381714827198424,0.020831571394691172,0.16328022675762643,4.006218386722212e-06
Debias_ElasticNet,100,50,10,2.0,-0.052381714827198424,0.0208155829559727,0.16540931824191948,1.2750249119268073e-05
Debias_Ridge,100,50,10,2.0,-0.052381714827198424,0.03193548260881865,0.13332491786076056,6.915168168770029e-07
Imputed,100,50,11,2.0,-0.052381714827198424,0.014308074837899311,0.09855835423787809,3.905996160818585e-08
Classical,100,50,11,2.0,-0.052381714827198424,0.20281469322599605,1.2637254569312315,6.725573105174566e-05
PPI_lambda1,100,50,11,2.0,-0.052381714827198424,0.07820830264877139,0.8056186579757919,4.7298698307004636e-07
PPI_tuned,100,50,11,2.0,-0.052381714827198424,0.05465729545497184,0.48013072525236417,0.00015478697142946873
Debias_Lasso,100,50,11,2.0,-0.052381714827198424,0.01658788671950277,0.20301272585155136,2.1001178984387753e-07
Debias_ElasticNet,100,50,11,2.0,-0.052381714827198424,0.016364750292929095,0.17386780160235538,2.02403703953561e-07
Debias_Ridge,100,50,11,2.0,-0.052381714827198424,0.04172022421624816,0.5107005218426597,3.797001463370862e-06
Imputed,100,50,12,2.0,-0.052381714827198424,0.019803882345577336,0.11585259966441604,1.98292472282478e-07
Classical,100,50,12,2.0,-0.052381714827198424,0.1918296082824188,1.4233978087960732,4.0760667710940564e-05
PPI_lambda1,100,50,12,2.0,-0.052381714827198424,0.0549476130681502,0.7150974771251257,5.145601980680792e-07
PPI_tuned,100,50,12,2.0,-0.052381714827198424,0.0549476130681502,0.7150974771251257,5.145601980680792e-07
Debias_Lasso,100,50,12,2.0,-0.052381714827198424,0.02314686248077731,0.2962789638710435,6.227825786386281e-07
Debias_ElasticNet,100,50,12,2.0,-0.052381714827198424,0.02194529057914926,0.21324769250400166,6.221644815576415e-07
Debias_Ridge,100,50,12,2.0,-0.052381714827198424,0.04251862808356301,0.5348845317587309,1.3130463975122409e-08
Imputed,100,50,13,2.0,-0.052381714827198424,0.018434916144155024,0.1629239667492092,2.7950725353249997e-08
Classical,100,50,13,2.0,-0.052381714827198424,0.1742246129442142,1.0831570718693546,4.5165931985858536e-05
PPI_lambda1,100,50,13,2.0,-0.052381714827198424,0.0451523464373928,0.4854797001853479,3.9330780666310864e-08
PPI_tuned,100,50,13,2.0,-0.052381714827198424,0.0451523464373928,0.4854797001853479,3.9330780666310864e-08
Debias_Lasso,100,50,13,2.0,-0.052381714827198424,0.021560843779244148,0.2919367715900003,5.377238502487826e-07
Debias_ElasticNet,100,50,13,2.0,-0.052381714827198424,0.022530067973632627,0.33562025894315484,2.716872318918139e-06
Debias_Ridge,100,50,13,2.0,-0.052381714827198424,0.037760949904653465,0.4271477406091926,2.0336342744865676e-07
Imputed,100,50,14,2.0,-0.052381714827198424,0.016679236125310207,0.12360512353412229,1.3525343347943035e-06
Classical,100,50,14,2.0,-0.052381714827198424,0.2077694460871189,1.344784548399388,4.578076785545766e-08
PPI_lambda1,100,50,14,2.0,-0.052381714827198424,0.06082827339767011,0.42523013012923944,1.430687148292326e-05
PPI_tuned,100,50,14,2.0,-0.052381714827198424,0.04754645884935624,0.28898919774747045,2.8909218065541546e-06
Debias_Lasso,100,50,14,2.0,-0.052381714827198424,0.016573812389482905,0.1238587543126277,5.159721508843486e-07
Debias_ElasticNet,100,50,14,2.0,-0.052381714827198424,0.016656405699697126,0.12388988386225697,3.439073256938991e-07
Debias_Ridge,100,50,14,2.0,-0.052381714827198424,0.04096730078438646,0.25644936134079765,2.5572957392793843e-05
Imputed,100,50,15,2.0,-0.052381714827198424,0.02227933965669183,0.17500953324817212,3.289075312740339e-06
Classical,100,50,15,2.0,-0.052381714827198424,0.13606036399162133,1.0753428524494444,1.3264371518726023e-05
PPI_lambda1,100,50,15,2.0,-0.052381714827198424,0.06062439418731603,0.35848908495401877,1.2412090139385507e-06
PPI_tuned,100,50,15,2.0,-0.052381714827198424,0.06062439418731603,0.35848908495401877,1.2412090139385507e-06
Debias_Lasso,100,50,15,2.0,-0.052381714827198424,0.024066372157715375,0.22209984694162618,2.596704863805449e-07
Debias_ElasticNet,100,50,15,2.0,-0.052381714827198424,0.024066372157715375,0.22209984694162618,2.596704863805449e-07
Debias_Ridge,100,50,15,2.0,-0.052381714827198424,0.04821155370055613,0.37466746149618724,3.313339447663567e-06
Imputed,100,50,16,2.0,-0.052381714827198424,0.02040598826657609,0.11426483156691586,1.4697176263086049e-06
Classical,100,50,16,2.0,-0.052381714827198424,0.1761331619791569,0.7415512887486136,3.3130838596206334e-07
PPI_lambda1,100,50,16,2.0,-0.052381714827198424,0.05196087121457017,0.3446096500286085,3.911497056932636e-06
PPI_tuned,100,50,16,2.0,-0.052381714827198424,0.04402279089002564,0.29791765489660826,3.795755877718639e-05
Debias_Lasso,100,50,16,2.0,-0.052381714827198424,0.020181454562776976,0.09045628363343655,9.444932967841213e-07
Debias_ElasticNet,100,50,16,2.0,-0.052381714827198424,0.02039375225490354,0.11171249011178726,9.66682484540042e-07
Debias_Ridge,100,50,16,2.0,-0.052381714827198424,0.036772413177562094,0.22693106022676857,2.0238152895799332e-05
Imputed,100,50,17,2.0,-0.052381714827198424,0.017834193177595457,0.12328461923301594,2.098595954267954e-08
Classical,100,50,17,2.0,-0.052381714827198424,0.21256610407761994,1.259107744696887,0.00012177258406368205
PPI_lambda1,100,50,17,2.0,-0.052381714827198424,0.06634623154740496,0.36339784740978354,1.8667089648845075e-08
PPI_tuned,100,50,17,2.0,-0.052381714827198424,0.06634623154740496,0.36339784740978354,1.8667089648845075e-08
Debias_Lasso,100,50,17,2.0,-0.052381714827198424,0.01818445773941089,0.12895015048578967,1.9957515534672953e-06
Debias_ElasticNet,100,50,17,2.0,-0.052381714827198424,0.01818328272827306,0.12894917602445224,1.995142310765359e-06
Debias_Ridge,100,50,17,2.0,-0.052381714827198424,0.05058206499669815,0.36544553532814766,2.744854923305012e-05
Imputed,100,50,18,2.0,-0.052381714827198424,0.0208969553357863,0.11976248357189265,4.4146030290673307e-07
Classical,100,50,18,2.0,-0.052381714827198424,0.20459753450280205,1.0976205522788736,1.4660225778497527e-08
PPI_lambda1,100,50,18,2.0,-0.052381714827198424,0.055253444909343606,0.4523519812471639,0.00013058188458855763
PPI_tuned,100,50,18,2.0,-0.052381714827198424,0.055253444909343606,0.4523519812471639,0.00013058188458855763
Debias_Lasso,100,50,18,2.0,-0.052381714827198424,0.02095692652327857,0.12086074766314539,3.130750080931295e-07
Debias_ElasticNet,100,50,18,2.0,-0.052381714827198424,0.020956926523278577,0.12086074766314539,3.130750080931295e-07
Debias_Ridge,100,50,18,2.0,-0.052381714827198424,0.043775337383654606,0.33936888996303166,2.8814857199103556e-08
Imputed,100,50,19,2.0,-0.052381714827198424,0.02153472379142402,0.11437214531819158,2.8918665464442414e-07
Classical,100,50,19,2.0,-0.052381714827198424,0.23492926772405023,1.7735074404283224,7.639225333052036e-08
PPI_lambda1,100,50,19,2.0,-0.052381714827198424,0.08461486020824799,0.6587083973496539,2.784258406719907e-05
PPI_tuned,100,50,19,2.0,-0.052381714827198424,0.08461486020824799,0.6587083973496539,2.784258406719907e-05
Debias_Lasso,100,50,19,2.0,-0.052381714827198424,0.022982367786657854,0.13208477987641443,3.561973665286574e-06
Debias_ElasticNet,100,50,19,2.0,-0.052381714827198424,0.022982367786657854,0.13208477987641443,3.561973665286574e-06
Debias_Ridge,100,50,19,2.0,-0.052381714827198424,0.05069412406806064,0.39463581002619424,2.0698689734928451e-07
Imputed,100,50,20,2.0,-0.052381714827198424,0.02118520253354743,0.15003462268902273,1.7426045099173086e-09
Classical,100,50,20,2.0,-0.052381714827198424,0.1862307435071894,1.2036555355461724,6.576307913990795e-05
PPI_lambda1,100,50,20,2.0,-0.052381714827198424,0.06673316632466195,0.32402868263023765,9.3598569779734e-06
PPI_tuned,100,50,20,2.0,-0.052381714827198424,0.06673316632466195,0.32402868263023765,9.3598569779734e-06
Debias_Lasso,100,50,20,2.0,-0.052381714827198424,0.02121904709535069,0.15138567118846757,2.693212231395543e-06
Debias_ElasticNet,100,50,20,2.0,-0.052381714827198424,0.022528645283976235,0.1497494101041919,1.7277087980951885e-08
Debias_Ridge,100,50,20,2.0,-0.052381714827198424,0.04862739337206125,0.2436790067764156,4.829809103827184e-10
Imputed,100,50,21,2.0,-0.052381714827198424,0.018794541269964632,0.09246896999933171,1.2863377798978295e-06
Classical,100,50,21,2.0,-0.052381714827198424,0.15653014948792038,1.0398835210748716,1.8974572351077816e-07
PPI_lambda1,100,50,21,2.0,-0.052381714827198424,0.058070163627460154,0.31762385221159506,0.0002866211038244821
PPI_tuned,100,50,21,2.0,-0.052381714827198424,0.058070163627460154,0.31762385221159506,0.0002866211038244821
Debias_Lasso,100,50,21,2.0,-0.052381714827198424,0.018879721453915123,0.08545595324734837,9.719667925674923e-06
Debias_ElasticNet,100,50,21,2.0,-0.052381714827198424,0.018879721453915123,0.08545595324734837,9.719667925674923e-06
Debias_Ridge,100,50,21,2.0,-0.052381714827198424,0.040635706418635495,0.2615762720103962,3.5818871151036145e-06
Imputed,100,50,22,2.0,-0.052381714827198424,0.0193367665050442,0.15957710666644434,3.104404588417898e-07
Classical,100,50,22,2.0,-0.052381714827198424,0.14588517299502954,1.1054314412128208,0.00015018422747029993
PPI_lambda1,100,50,22,2.0,-0.052381714827198424,0.07007952385998302,0.5971926472501866,1.8007129526168614e-06
PPI_tuned,100,50,22,2.0,-0.052381714827198424,0.07007952385998302,0.5971926472501866,1.8007129526168614e-06
Debias_Lasso,100,50,22,2.0,-0.052381714827198424,0.019673350995703692,0.13507210208303266,4.985000356610325e-06
Debias_ElasticNet,100,50,22,2.0,-0.052381714827198424,0.019673350995703692,0.13507210208303266,4.985000356610325e-06
Debias_Ridge,100,50,22,2.0,-0.052381714827198424,0.05143065580862831,0.43511530072000865,2.2409744621876376e-07
Imputed,100,50,23,2.0,-0.052381714827198424,0.02032158120328683,0.14889471452652972,1.404573807812878e-05
Classical,100,50,23,2.0,-0.052381714827198424,0.20504635903950344,2.5643007923312076,3.5894707739871786e-06
PPI_lambda1,100,50,23,2.0,-0.052381714827198424,0.10618223771391579,0.6208951957270368,2.97098655186393e-08
PPI_tuned,100,50,23,2.0,-0.052381714827198424,0.07814307315974915,0.4003182000696496,1.2794559871809863e-05
Debias_Lasso,100,50,23,2.0,-0.052381714827198424,0.020306692194050516,0.1485006522185534,1.7022848353959047e-05
Debias_ElasticNet,100,50,23,2.0,-0.052381714827198424,0.020306692194050516,0.1485006522185534,1.7022848353959047e-05
Debias_Ridge,100,50,23,2.0,-0.052381714827198424,0.06114423447327905,0.35312630968090536,1.56039642476812e-05
Imputed,100,50,24,2.0,-0.052381714827198424,0.016733935147939447,0.1038611915530938,8.93498408462951e-08
Classical,100,50,24,2.0,-0.052381714827198424,0.1764215027323344,0.7255872037295487,0.00021784490199567327
PPI_lambda1,100,50,24,2.0,-0.052381714827198424,0.08906825530071748,0.6255207633547741,5.147260097974038e-05
PPI_tuned,100,50,24,2.0,-0.052381714827198424,0.06925935334855715,0.5689377962803849,2.41029498957806e-06
Debias_Lasso,100,50,24,2.0,-0.052381714827198424,0.01810527503546937,0.13431884385866671,4.066842030773147e-06
Debias_ElasticNet,100,50,24,2.0,-0.052381714827198424,0.01810527503546937,0.13431884385866671,4.066842030773147e-06
Debias_Ridge,100,50,24,2.0,-0.052381714827198424,0.054882904811629316,0.3536969841275894,2.691924432638561e-06
Imputed,100,50,25,2.0,-0.052381714827198424,0.018274513669680602,0.11160434339260401,1.0993254443539875e-06
Classical,100,50,25,2.0,-0.052381714827198424,0.18785103925775815,1.2390505436226493,7.229554404866784e-05
PPI_lambda1,100,50,25,2.0,-0.052381714827198424,0.05871616015941008,0.3826029184708909,8.323364750940973e-06
PPI_tuned,100,50,25,2.0,-0.052381714827198424,0.05871616015941008,0.3826029184708909,8.323364750940973e-06
Debias_Lasso,100,50,25,2.0,-0.052381714827198424,0.018320508752855607,0.10731479187455463,4.238785339973035e-08
Debias_ElasticNet,100,50,25,2.0,-0.052381714827198424,0.018320508752855607,0.10731479187455463,4.238785339973035e-08
Debias_Ridge,100,50,25,2.0,-0.052381714827198424,0.04251677394289218,0.23881215169460338,5.278232862818959e-07
Imputed,100,50,26,2.0,-0.052381714827198424,0.01894719632333899,0.11244882915303274,1.4377938754524062e-05
Classical,100,50,26,2.0,-0.052381714827198424,0.17209865833351565,1.2826165341881866,2.370550120818377e-06
PPI_lambda1,100,50,26,2.0,-0.052381714827198424,0.045528392147661564,0.2715066478631487,6.256755313954943e-06
PPI_tuned,100,50,26,2.0,-0.052381714827198424,0.045528392147661564,0.2715066478631487,6.256755313954943e-06
Debias_Lasso,100,50,26,2.0,-0.052381714827198424,0.019189892692059538,0.12526102136337042,1.6868512922396993e-08
Debias_ElasticNet,100,50,26,2.0,-0.052381714827198424,0.01918989269205954,0.12526102136337042,1.6868512922411412e-08
Debias_Ridge,100,50,26,2.0,-0.052381714827198424,0.03632048595217148,0.29035619632510845,6.844855728108776e-06
Imputed,100,50,27,2.0,-0.052381714827198424,0.016205251041432688,0.09084512113711173,6.53556194404427e-06
Classical,100,50,27,2.0,-0.052381714827198424,0.2321067265703033,2.0213103046746435,2.0081653437264485e-05
PPI_lambda1,100,50,27,2.0,-0.052381714827198424,0.059095679833391764,0.39468505673750287,1.1211774329303564e-05
PPI_tuned,100,50,27,2.0,-0.052381714827198424,0.048346514736785036,0.3232591245398974,2.8328271276741404e-06
Debias_Lasso,100,50,27,2.0,-0.052381714827198424,0.01676630551739653,0.10511990846008192,3.583770066722303e-08
Debias_ElasticNet,100,50,27,2.0,-0.052381714827198424,0.016766305517396527,0.10511990846008178,3.583770066722303e-08
Debias_Ridge,100,50,27,2.0,-0.052381714827198424,0.04142244258445924,0.31752767085892186,2.8645216587114686e-06
Imputed,100,50,28,2.0,-0.052381714827198424,0.018566519201689703,0.12464490164047995,7.13834423123501e-05
Classical,100,50,28,2.0,-0.052381714827198424,0.20696598578771905,1.5540792880997842,1.126381171192023e-08
PPI_lambda1,100,50,28,2.0,-0.052381714827198424,0.06669425195954515,0.6850641116012256,2.1210281115915314e-05
PPI_tuned,100,50,28,2.0,-0.052381714827198424,0.053162719132928526,0.39483690832503104,5.600555132758848e-07
Debias_Lasso,100,50,28,2.0,-0.052381714827198424,0.01853456264334729,0.12338030696763107,8.777154059556439e-05
Debias_ElasticNet,100,50,28,2.0,-0.052381714827198424,0.01853456264334729,0.12338030696763107,8.777154059556439e-05
Debias_Ridge,100,50,28,2.0,-0.052381714827198424,0.04275062832684907,0.44016486311112296,5.135188736708201e-07
Imputed,100,50,29,2.0,-0.052381714827198424,0.018116643594716635,0.14989162403489972,1.2516714019278292e-08
Classical,100,50,29,2.0,-0.052381714827198424,0.17208674504550836,0.9261414129457933,2.56749900034207e-06
PPI_lambda1,100,50,29,2.0,-0.052381714827198424,0.0718028787666266,0.46060223790054816,3.932305045950599e-06
PPI_tuned,100,50,29,2.0,-0.052381714827198424,0.06524837968960515,0.3774205619662623,9.82299664526553e-06
Debias_Lasso,100,50,29,2.0,-0.052381714827198424,0.021818292185655022,0.16284337005001753,1.1387265491685742e-05
Debias_ElasticNet,100,50,29,2.0,-0.052381714827198424,0.021272265278771213,0.16320161687209048,1.0992734531072177e-05
Debias_Ridge,100,50,29,2.0,-0.052381714827198424,0.0428815438187241,0.35757795179656526,5.919226741984697e-06
Imputed,100,100,0,2.0,-0.052381714827198424,0.022948887919972977,0.1683381616178419,2.0217278213121533e-07
Classical,100,100,0,2.0,-0.052381714827198424,4710.36706871632,36634.84759159981,0.06513102692393864
PPI_lambda1,100,100,0,2.0,-0.052381714827198424,201054.51123595634,1560831.6132126192,11.314947467420724
PPI_tuned,100,100,0,2.0,-0.052381714827198424,4710.394249547526,36635.058779223415,0.06513006366753417
Debias_Lasso,100,100,0,2.0,-0.052381714827198424,0.024181226250294653,0.18967100664680164,1.0987317022451046e-05
Debias_ElasticNet,100,100,0,2.0,-0.052381714827198424,0.02399159918407118,0.18893040466628874,1.0355733095273893e-05
Debias_Ridge,100,100,0,2.0,-0.052381714827198424,0.06506427560128088,0.5014572908201081,4.355935559213956e-06
Imputed,100,100,1,2.0,-0.052381714827198424,0.022453022407055746,0.18718573947250502,2.331304920832742e-05
Classical,100,100,1,2.0,-0.052381714827198424,2.1638359593772316,16.786531417804806,1.2261080797040641e-06
PPI_lambda1,100,100,1,2.0,-0.052381714827198424,2.1059308761133293,14.054465114028053,0.002461183779741015
PPI_tuned,100,100,1,2.0,-0.052381714827198424,2.001229048171901,15.099873286435459,1.5368834156809698e-08
Debias_Lasso,100,100,1,2.0,-0.052381714827198424,0.022242052429310967,0.1743178908764021,1.5356424825814595e-07
Debias_ElasticNet,100,100,1,2.0,-0.052381714827198424,0.022242052429310967,0.1743178908764021,1.5356424825814595e-07
Debias_Ridge,100,100,1,2.0,-0.052381714827198424,0.05564128872077785,0.5314510179858266,1.5783354579365447e-07
Imputed,100,100,2,2.0,-0.052381714827198424,0.027270852758831562,0.16458684449646802,7.320373544685746e-06
Classical,100,100,2,2.0,-0.052381714827198424,17.623806651623212,122.87456846273673,0.00041522900124223475
PPI_lambda1,100,100,2,2.0,-0.052381714827198424,22.468761857438864,170.57482157101367,0.0008819312881047551
PPI_tuned,100,100,2,2.0,-0.052381714827198424,17.21303373487565,119.80235686425674,0.0018527180587586465
Debias_Lasso,100,100,2,2.0,-0.052381714827198424,0.027280314665492952,0.1649322884462703,5.033147018135412e-06
Debias_ElasticNet,100,100,2,2.0,-0.052381714827198424,0.027280314665492952,0.1649322884462703,5.033147018135412e-06
Debias_Ridge,100,100,2,2.0,-0.052381714827198424,0.0873001040614935,0.5281022781170577,3.880571261321695e-07
Imputed,100,100,3,2.0,-0.052381714827198424,0.023094919139270566,0.16644845164415287,2.764454835517583e-06
Classical,100,100,3,2.0,-0.052381714827198424,6.53056217124207,38.13815817209958,0.001925476413495764
PPI_lambda1,100,100,3,2.0,-0.052381714827198424,7.277402766645426,49.002871937685676,0.0017025774022300687
PPI_tuned,100,100,3,2.0,-0.052381714827198424,6.3799208122770095,36.95029671697576,0.004512552491832045
Debias_Lasso,100,100,3,2.0,-0.052381714827198424,0.024154069320386724,0.18255315117478316,3.4468319472988995e-08
Debias_ElasticNet,100,100,3,2.0,-0.052381714827198424,0.024154069320386724,0.18255315117478316,3.4468319472988995e-08
Debias_Ridge,100,100,3,2.0,-0.052381714827198424,0.0628016972469516,0.4424292392292656,1.3535804016919916e-05
Imputed,100,100,4,2.0,-0.052381714827198424,0.019471082378081987,0.12501514642420195,1.4764097846220308e-06
Classical,100,100,4,2.0,-0.052381714827198424,0.11782202442501327,0.9182004836549604,8.161058798828093e-09
PPI_lambda1,100,100,4,2.0,-0.052381714827198424,1.7201068977300666,9.943848668349553,2.167479043631837e-05
PPI_tuned,100,100,4,2.0,-0.052381714827198424,0.11906811108377459,0.8677156975446767,1.6317819370099015e-05
Debias_Lasso,100,100,4,2.0,-0.052381714827198424,0.021552731517569323,0.16314663326147316,9.694896324854366e-07
Debias_ElasticNet,100,100,4,2.0,-0.052381714827198424,0.02178939009061557,0.16369335824865222,6.350696897463787e-07
Debias_Ridge,100,100,4,2.0,-0.052381714827198424,0.0577937295782241,0.5020713259105982,1.7793306664103889e-07
Imputed,100,100,5,2.0,-0.052381714827198424,0.022966317256519018,0.1292649344609379,1.1826818613883054e-05
Classical,100,100,5,2.0,-0.052381714827198424,0.7946360344105092,7.568555796207129,0.000784859943240746
PPI_lambda1,100,100,5,2.0,-0.052381714827198424,71.10792050005877,617.1790501283001,0.03952382368589564
PPI_tuned,100,100,5,2.0,-0.052381714827198424,0.8009912978858681,7.584350460544069,0.0007737853913389608
Debias_Lasso,100,100,5,2.0,-0.052381714827198424,0.032885629409563855,0.37843532932421875,2.8801043592934767e-08
Debias_ElasticNet,100,100,5,2.0,-0.052381714827198424,0.029995149091789877,0.29234331085642024,5.73760949541528e-08
Debias_Ridge,100,100,5,2.0,-0.052381714827198424,0.06720178339142727,0.40536006154785453,6.384408785502086e-05
Imputed,100,100,6,2.0,-0.052381714827198424,0.02769793551805439,0.15308654044023656,4.582778666726183e-07
Classical,100,100,6,2.0,-0.052381714827198424,26.632338910063986,189.96273788757696,0.011826689574172078
PPI_lambda1,100,100,6,2.0,-0.052381714827198424,893.2142349449445,6561.008872871779,0.0827037263531546
PPI_tuned,100,100,6,2.0,-0.052381714827198424,26.665089966318774,190.2021272871526,0.011978527799641318
Debias_Lasso,100,100,6,2.0,-0.052381714827198424,0.027784292612507016,0.15863891544846173,1.0007751368851973e-05
Debias_ElasticNet,100,100,6,2.0,-0.052381714827198424,0.027758754896286052,0.15870238781393786,1.0284936545423646e-05
Debias_Ridge,100,100,6,2.0,-0.052381714827198424,0.08517924164303078,0.7394926035221874,4.82502690414725e-07
Imputed,100,100,7,2.0,-0.052381714827198424,0.01971480592557456,0.19323178771885902,1.5459356774861277e-06
Classical,100,100,7,2.0,-0.052381714827198424,1.1597190994554973,7.750319160237542,1.0319372202422175e-06
PPI_lambda1,100,100,7,2.0,-0.052381714827198424,16.906925866631354,236.5291025644239,0.0002587623964885055
PPI_tuned,100,100,7,2.0,-0.052381714827198424,1.0900249483853361,7.031317125737056,7.580483568421484e-05
