method,p,n,trial,sigma,theta,error,error_max,error_min
Debias_Ridge,10,50,4,2.0,-0.1085379037911433,0.0689301984319606,0.32935469365148445,0.0003930999547054834
Imputed,10,50,5,2.0,-0.1085379037911433,0.021857265790759244,0.09277129502629493,0.001241380953356711
Classical,10,50,5,2.0,-0.1085379037911433,0.04268977771382149,0.19538106832324406,3.087248415837643e-05
PPI_lambda1,10,50,5,2.0,-0.1085379037911433,0.14524318742740364,0.4589879243296622,0.0005789452806535108
PPI_tuned,10,50,5,2.0,-0.1085379037911433,0.04118661374250696,0.13535034021776787,0.001161888967201627
Debias_Lasso,10,50,5,2.0,-0.1085379037911433,0.02238511637535922,0.09768595358683618,0.0006457168370053193
Debias_ElasticNet,10,50,5,2.0,-0.1085379037911433,0.02238511637535922,0.09768595358683618,0.0006457168370053193
Debias_Ridge,10,50,5,2.0,-0.1085379037911433,0.09205520904269404,0.26234040842501277,0.00040931600996682284
Imputed,10,50,6,2.0,-0.1085379037911433,0.022183992841651068,0.07638989734937397,0.00020198684824191584
Classical,10,50,6,2.0,-0.1085379037911433,0.032083845197469915,0.11206625261771157,0.003911439943044168
PPI_lambda1,10,50,6,2.0,-0.1085379037911433,0.1547939594889159,0.47604703117920244,0.0004093145868736321
PPI_tuned,10,50,6,2.0,-0.1085379037911433,0.021099049932291888,0.05189011676425851,0.0031885369262007555
Debias_Lasso,10,50,6,2.0,-0.1085379037911433,0.03204128427106005,0.09888327272500967,0.0012880401148447963
Debias_ElasticNet,10,50,6,2.0,-0.1085379037911433,0.028111124150450684,0.0760692789274498,0.0013281145324939652
Debias_Ridge,10,50,6,2.0,-0.1085379037911433,0.10177614306590488,0.30758838663903776,0.0005390021479291172
Imputed,10,50,7,2.0,-0.1085379037911433,0.019730594847958437,0.0816343103613392,7.378046119548675e-05
Classical,10,50,7,2.0,-0.1085379037911433,0.05429462954374868,0.3350290527538284,0.0016821856339027104
PPI_lambda1,10,50,7,2.0,-0.1085379037911433,0.11704060299389392,0.5197607603736547,0.00042105770204669407
PPI_tuned,10,50,7,2.0,-0.1085379037911433,0.045482225327166184,0.18902548088670165,0.000401722195793338
Debias_Lasso,10,50,7,2.0,-0.1085379037911433,0.03849425253013876,0.18421663896781695,0.00015344168816881334
Debias_ElasticNet,10,50,7,2.0,-0.1085379037911433,0.03945020072757312,0.18383364117441436,0.0006390373756459154
Debias_Ridge,10,50,7,2.0,-0.1085379037911433,0.09166659147996441,0.3787478476470518,2.058924098682533e-05
