method,p,n,N,trial,sigma,beta,theta,error,error_max,error_min
PPI_lambda1,800,500,1500,9,0.1,1,0.003242404,0.391186986,3.669441033,2.97E-07
PPI_tuned,800,500,1500,9,0.1,1,0.003242404,0.1160342,1.125411932,2.26E-08
Debias_Lasso,800,500,1500,9,0.1,1,0.003242404,0.617580415,5.651850896,5.36E-06
Debias_ElasticNet,800,500,1500,9,0.1,1,0.003242404,0.449236707,5.313889896,1.42E-07
Debias_Ridge,800,500,1500,9,0.1,1,0.003242404,0.391227604,3.705353002,5.29E-06
Imputed,1000,50,1500,0,0.1,1,-0.022549379,0.98394441,16.48279875,7.37E-08
Classical,1000,50,1500,0,0.1,1,-0.022549379,0.31317739,1.413879118,5.48E-06
PPI_lambda1,1000,50,1500,0,0.1,1,-0.022549379,0.92212057,13.87411375,4.91E-06
PPI_tuned,1000,50,1500,0,0.1,1,-0.022549379,0.31317739,1.413879118,5.48E-06
Debias_Lasso,1000,50,1500,0,0.1,1,-0.022549379,1.087676874,33.55703487,4.36E-06
Debias_ElasticNet,1000,50,1500,0,0.1,1,-0.022549379,1.024585717,15.02604028,6.91E-07
Debias_Ridge,1000,50,1500,0,0.1,1,-0.022549379,1.013729691,13.69245585,5.72E-07
Imputed,1000,50,1500,1,0.1,1,-0.022549379,0.983812822,16.49047334,7.40E-07
Classical,1000,50,1500,1,0.1,1,-0.022549379,0.310534352,1.643315986,9.07E-07
PPI_lambda1,1000,50,1500,1,0.1,1,-0.022549379,0.949575459,14.10231247,8.36E-10
PPI_tuned,1000,50,1500,1,0.1,1,-0.022549379,0.310534352,1.643315986,9.07E-07
Debias_Lasso,1000,50,1500,1,0.1,1,-0.022549379,0.985291197,16.51801206,6.73E-07
Debias_ElasticNet,1000,50,1500,1,0.1,1,-0.022549379,0.972088127,13.4730008,4.46E-06
Debias_Ridge,1000,50,1500,1,0.1,1,-0.022549379,0.954249498,14.09318152,4.68E-06
Imputed,1000,50,1500,2,0.1,1,-0.022549379,0.984387428,16.40983935,2.02E-06
Classical,1000,50,1500,2,0.1,1,-0.022549379,0.311242435,1.44535991,1.38E-06
PPI_lambda1,1000,50,1500,2,0.1,1,-0.022549379,0.927833933,16.49069501,4.21E-08
PPI_tuned,1000,50,1500,2,0.1,1,-0.022549379,0.311195944,1.445129263,1.46E-06
Debias_Lasso,1000,50,1500,2,0.1,1,-0.022549379,1.106678369,76.93632831,6.97E-07
Debias_ElasticNet,1000,50,1500,2,0.1,1,-0.022549379,0.952969439,15.30678296,2.95E-06
Debias_Ridge,1000,50,1500,2,0.1,1,-0.022549379,0.927811318,15.55425551,5.29E-07
Imputed,1000,50,1500,3,0.1,1,-0.022549379,0.984940123,16.47334233,3.39E-06
Classical,1000,50,1500,3,0.1,1,-0.022549379,0.306574746,1.503767824,5.89E-07
PPI_lambda1,1000,50,1500,3,0.1,1,-0.022549379,0.922941973,14.37446081,7.65E-09
PPI_tuned,1000,50,1500,3,0.1,1,-0.022549379,0.306574746,1.503767824,5.89E-07
Debias_Lasso,1000,50,1500,3,0.1,1,-0.022549379,1.098155691,15.54129818,2.80E-06
Debias_ElasticNet,1000,50,1500,3,0.1,1,-0.022549379,1.092186884,15.53179124,8.52E-07
Debias_Ridge,1000,50,1500,3,0.1,1,-0.022549379,1.06539225,17.59829761,1.88E-07
Imputed,1000,50,1500,4,0.1,1,-0.022549379,0.98211284,16.39544993,6.38E-06
Classical,1000,50,1500,4,0.1,1,-0.022549379,0.312976213,1.476122,1.09E-06
PPI_lambda1,1000,50,1500,4,0.1,1,-0.022549379,0.945456927,12.39689516,4.03E-06
PPI_tuned,1000,50,1500,4,0.1,1,-0.022549379,0.284608775,1.387642317,9.23E-06
Debias_Lasso,1000,50,1500,4,0.1,1,-0.022549379,1.061490144,23.01932655,1.08E-06
Debias_ElasticNet,1000,50,1500,4,0.1,1,-0.022549379,0.984225048,11.97604113,4.93E-06
Debias_Ridge,1000,50,1500,4,0.1,1,-0.022549379,0.971469703,12.24630845,2.75E-07
Imputed,1000,50,1500,5,0.1,1,-0.022549379,0.984790559,16.60871268,3.47E-06
Classical,1000,50,1500,5,0.1,1,-0.022549379,0.306395213,1.63721034,2.95E-08
PPI_lambda1,1000,50,1500,5,0.1,1,-0.022549379,0.949054504,14.95926009,6.51E-06
PPI_tuned,1000,50,1500,5,0.1,1,-0.022549379,0.306395213,1.63721034,2.95E-08
Debias_Lasso,1000,50,1500,5,0.1,1,-0.022549379,1.060048202,16.8632268,3.05E-06
Debias_ElasticNet,1000,50,1500,5,0.1,1,-0.022549379,1.006231112,16.78028675,3.06E-07
Debias_Ridge,1000,50,1500,5,0.1,1,-0.022549379,1.005659756,15.08644256,2.83E-06
Imputed,1000,50,1500,6,0.1,1,-0.022549379,0.98375214,16.56273787,2.13E-07
Classical,1000,50,1500,6,0.1,1,-0.022549379,0.306796299,1.626735397,1.20E-06
PPI_lambda1,1000,50,1500,6,0.1,1,-0.022549379,0.942800196,15.25387671,1.60E-09
PPI_tuned,1000,50,1500,6,0.1,1,-0.022549379,0.254133811,1.582411973,5.38E-06
Debias_Lasso,1000,50,1500,6,0.1,1,-0.022549379,1.158712581,17.83762523,5.22E-10
Debias_ElasticNet,1000,50,1500,6,0.1,1,-0.022549379,1.146790699,17.85493379,1.00E-05
Debias_Ridge,1000,50,1500,6,0.1,1,-0.022549379,1.12372973,16.75419374,1.11E-09
Imputed,1000,50,1500,7,0.1,1,-0.022549379,0.98443883,16.4184232,1.29E-05
Classical,1000,50,1500,7,0.1,1,-0.022549379,0.31112045,1.515644789,2.40E-06
PPI_lambda1,1000,50,1500,7,0.1,1,-0.022549379,0.932309686,16.59942757,3.81E-07
PPI_tuned,1000,50,1500,7,0.1,1,-0.022549379,0.266835727,1.379616347,3.64E-06
Debias_Lasso,1000,50,1500,7,0.1,1,-0.022549379,1.01998694,17.05363179,1.58E-07
Debias_ElasticNet,1000,50,1500,7,0.1,1,-0.022549379,1.01998694,17.05363179,1.58E-07
Debias_Ridge,1000,50,1500,7,0.1,1,-0.022549379,0.951387043,17.04878343,2.11E-07
Imputed,1000,50,1500,8,0.1,1,-0.022549379,0.985417121,16.61673346,2.39E-07
Classical,1000,50,1500,8,0.1,1,-0.022549379,0.303803678,1.512722147,3.21E-06
PPI_lambda1,1000,50,1500,8,0.1,1,-0.022549379,0.9418903,14.77992999,1.80E-06
PPI_tuned,1000,50,1500,8,0.1,1,-0.022549379,0.303803678,1.512722147,3.21E-06
Debias_Lasso,1000,50,1500,8,0.1,1,-0.022549379,1.142333876,48.40709079,1.76E-07
Debias_ElasticNet,1000,50,1500,8,0.1,1,-0.022549379,0.98290675,15.37241769,3.78E-07
Debias_Ridge,1000,50,1500,8,0.1,1,-0.022549379,0.941746923,15.07382714,2.71E-06
Imputed,1000,50,1500,9,0.1,1,-0.022549379,0.985295699,16.56175402,7.98E-08
Classical,1000,50,1500,9,0.1,1,-0.022549379,0.310170537,1.560234937,2.10E-06
PPI_lambda1,1000,50,1500,9,0.1,1,-0.022549379,0.9426903,12.88163049,1.09E-06
PPI_tuned,1000,50,1500,9,0.1,1,-0.022549379,0.243124747,1.605652358,1.14E-06
Debias_Lasso,1000,50,1500,9,0.1,1,-0.022549379,0.991352684,16.78605674,1.51E-07
Debias_ElasticNet,1000,50,1500,9,0.1,1,-0.022549379,0.99398306,13.45881709,1.61E-07
Debias_Ridge,1000,50,1500,9,0.1,1,-0.022549379,0.951273479,13.13155243,2.32E-08
Imputed,1000,100,1500,0,0.1,1,-0.022549379,0.982508772,16.44156884,1.32E-05
Classical,1000,100,1500,0,0.1,1,-0.022549379,0.293686249,1.461795727,3.29E-08
PPI_lambda1,1000,100,1500,0,0.1,1,-0.022549379,0.886231396,12.27394522,1.19E-06
PPI_tuned,1000,100,1500,0,0.1,1,-0.022549379,0.291054218,1.439796895,3.21E-09
Debias_Lasso,1000,100,1500,0,0.1,1,-0.022549379,1.041723251,17.47594971,1.09E-06
Debias_ElasticNet,1000,100,1500,0,0.1,1,-0.022549379,1.041723251,17.47594971,1.09E-06
Debias_Ridge,1000,100,1500,0,0.1,1,-0.022549379,0.93397284,13.14073258,3.68E-07
Imputed,1000,100,1500,1,0.1,1,-0.022549379,0.984233917,16.5096529,4.94E-06
Classical,1000,100,1500,1,0.1,1,-0.022549379,0.291000279,1.547062781,5.99E-08
PPI_lambda1,1000,100,1500,1,0.1,1,-0.022549379,0.875707477,15.0671102,1.38E-06
PPI_tuned,1000,100,1500,1,0.1,1,-0.022549379,0.286862363,1.531847337,7.82E-07
Debias_Lasso,1000,100,1500,1,0.1,1,-0.022549379,0.987056267,16.47403592,1.19E-05
Debias_ElasticNet,1000,100,1500,1,0.1,1,-0.022549379,0.92506669,15.94528449,1.21E-05
Debias_Ridge,1000,100,1500,1,0.1,1,-0.022549379,0.870852045,14.49660719,3.85E-07
Imputed,1000,100,1500,2,0.1,1,-0.022549379,0.98399041,16.36892187,1.14E-05
Classical,1000,100,1500,2,0.1,1,-0.022549379,0.29695804,1.475359487,1.83E-08
PPI_lambda1,1000,100,1500,2,0.1,1,-0.022549379,0.883338725,11.613633,1.80E-06
PPI_tuned,1000,100,1500,2,0.1,1,-0.022549379,0.28622055,1.360159537,8.63E-07
Debias_Lasso,1000,100,1500,2,0.1,1,-0.022549379,1.089267659,47.28195919,2.55E-07
Debias_ElasticNet,1000,100,1500,2,0.1,1,-0.022549379,0.945429785,11.51713151,1.29E-06
Debias_Ridge,1000,100,1500,2,0.1,1,-0.022549379,0.894846568,10.90523717,2.45E-06
Imputed,1000,100,1500,3,0.1,1,-0.022549379,0.983176134,16.47794874,4.56E-09
Classical,1000,100,1500,3,0.1,1,-0.022549379,0.283105117,1.670705894,1.16E-06
PPI_lambda1,1000,100,1500,3,0.1,1,-0.022549379,0.888804772,15.46169463,2.64E-07
PPI_tuned,1000,100,1500,3,0.1,1,-0.022549379,0.248093276,1.588765217,1.76E-07
Debias_Lasso,1000,100,1500,3,0.1,1,-0.022549379,1.013823023,16.56864183,1.38E-05
Debias_ElasticNet,1000,100,1500,3,0.1,1,-0.022549379,0.948908918,16.5639084,4.02E-07
Debias_Ridge,1000,100,1500,3,0.1,1,-0.022549379,0.890901127,15.95465091,3.29E-08
Imputed,1000,100,1500,4,0.1,1,-0.022549379,0.986458397,16.7200585,4.45E-07
Classical,1000,100,1500,4,0.1,1,-0.022549379,0.294194034,1.604288665,5.60E-08
PPI_lambda1,1000,100,1500,4,0.1,1,-0.022549379,0.892779998,12.80222698,2.88E-05
PPI_tuned,1000,100,1500,4,0.1,1,-0.022549379,0.294194034,1.604288665,5.60E-08
Debias_Lasso,1000,100,1500,4,0.1,1,-0.022549379,0.989312652,16.77459355,1.35E-08
Debias_ElasticNet,1000,100,1500,4,0.1,1,-0.022549379,0.922003154,11.80513744,1.59E-06
Debias_Ridge,1000,100,1500,4,0.1,1,-0.022549379,0.89570269,12.85017084,6.11E-05
Imputed,1000,100,1500,5,0.1,1,-0.022549379,0.986140871,16.35664291,3.96E-07
Classical,1000,100,1500,5,0.1,1,-0.022549379,0.296177761,1.546184988,1.06E-08
PPI_lambda1,1000,100,1500,5,0.1,1,-0.022549379,0.88074453,13.10519643,6.72E-08
PPI_tuned,1000,100,1500,5,0.1,1,-0.022549379,0.278519654,1.336689793,2.14E-07
Debias_Lasso,1000,100,1500,5,0.1,1,-0.022549379,1.087165051,15.35791784,6.52E-09
Debias_ElasticNet,1000,100,1500,5,0.1,1,-0.022549379,0.981606196,13.51648096,1.77E-09
Debias_Ridge,1000,100,1500,5,0.1,1,-0.022549379,0.972952273,13.86967478,7.69E-09
Imputed,1000,100,1500,6,0.1,1,-0.022549379,0.985640885,16.27650058,8.25E-07
Classical,1000,100,1500,6,0.1,1,-0.022549379,0.297863043,1.752979388,1.82E-06
PPI_lambda1,1000,100,1500,6,0.1,1,-0.022549379,0.906414652,17.16070186,1.66E-07
PPI_tuned,1000,100,1500,6,0.1,1,-0.022549379,0.297863043,1.752979388,1.82E-06
Debias_Lasso,1000,100,1500,6,0.1,1,-0.022549379,1.016525179,16.91609345,7.89E-07
Debias_ElasticNet,1000,100,1500,6,0.1,1,-0.022549379,1.016525179,16.91609345,7.89E-07
Debias_Ridge,1000,100,1500,6,0.1,1,-0.022549379,0.945289629,17.92227999,4.04E-07
Imputed,1000,100,1500,7,0.1,1,-0.022549379,0.985567562,16.33812203,2.80E-05
Classical,1000,100,1500,7,0.1,1,-0.022549379,0.297767725,1.673554901,1.27E-06
PPI_lambda1,1000,100,1500,7,0.1,1,-0.022549379,0.874649926,17.63842271,2.15E-07
PPI_tuned,1000,100,1500,7,0.1,1,-0.022549379,0.297767725,1.673554901,1.27E-06
Debias_Lasso,1000,100,1500,7,0.1,1,-0.022549379,0.984225796,16.26869135,6.61E-09
Debias_ElasticNet,1000,100,1500,7,0.1,1,-0.022549379,0.984225796,16.26869135,6.61E-09
Debias_Ridge,1000,100,1500,7,0.1,1,-0.022549379,0.874268744,17.45033726,1.11E-05
Imputed,1000,100,1500,8,0.1,1,-0.022549379,0.983641102,16.34588935,7.56E-06
Classical,1000,100,1500,8,0.1,1,-0.022549379,0.291940794,1.805173452,1.12E-06
PPI_lambda1,1000,100,1500,8,0.1,1,-0.022549379,0.89623484,11.82396726,2.90E-07
PPI_tuned,1000,100,1500,8,0.1,1,-0.022549379,0.291940794,1.805173452,1.12E-06
Debias_Lasso,1000,100,1500,8,0.1,1,-0.022549379,1.021673723,25.12261649,4.53E-07
Debias_ElasticNet,1000,100,1500,8,0.1,1,-0.022549379,0.960524344,13.10952589,2.37E-07
Debias_Ridge,1000,100,1500,8,0.1,1,-0.022549379,0.909187209,11.82745665,2.90E-07
Imputed,1000,100,1500,9,0.1,1,-0.022549379,0.984827136,16.38856502,8.44E-06
Classical,1000,100,1500,9,0.1,1,-0.022549379,0.295724291,1.56534212,8.21E-07
PPI_lambda1,1000,100,1500,9,0.1,1,-0.022549379,0.899592469,15.60396389,3.09E-07
PPI_tuned,1000,100,1500,9,0.1,1,-0.022549379,0.274461499,1.507419307,1.08E-05
Debias_Lasso,1000,100,1500,9,0.1,1,-0.022549379,1.019106959,18.13227189,8.91E-07
Debias_ElasticNet,1000,100,1500,9,0.1,1,-0.022549379,0.940109862,16.3482504,4.26E-06
Debias_Ridge,1000,100,1500,9,0.1,1,-0.022549379,0.900997068,15.54465089,2.28E-07
Imputed,1000,500,1500,0,0.1,1,-0.022549379,1.401063313,16.25022811,3.09E-06
Classical,1000,500,1500,0,0.1,1,-0.022549379,0.161832455,1.678065602,1.68E-07
PPI_lambda1,1000,500,1500,0,0.1,1,-0.022549379,0.963941539,9.640071463,3.14E-07
PPI_tuned,1000,500,1500,0,0.1,1,-0.022549379,0.21253505,2.041649211,4.71E-07
Debias_Lasso,1000,500,1500,0,0.1,1,-0.022549379,1.600640786,22.65093087,9.76E-07
Debias_ElasticNet,1000,500,1500,0,0.1,1,-0.022549379,1.417883114,19.79411969,4.54E-09
Debias_Ridge,1000,500,1500,0,0.1,1,-0.022549379,1.23204763,15.43854868,6.36E-07
Imputed,1000,500,1500,1,0.1,1,-0.022549379,2.986717338,30.09450139,1.66E-06
Classical,1000,500,1500,1,0.1,1,-0.022549379,0.167700656,1.175417553,2.73E-09
PPI_lambda1,1000,500,1500,1,0.1,1,-0.022549379,2.541633537,25.35035644,8.05E-06
PPI_tuned,1000,500,1500,1,0.1,1,-0.022549379,2.538981543,25.32377776,8.27E-06
Debias_Lasso,1000,500,1500,1,0.1,1,-0.022549379,6.559704728,71.47361777,3.15E-06
Debias_ElasticNet,1000,500,1500,1,0.1,1,-0.022549379,7.294418147,83.92351068,1.77E-08
Debias_Ridge,1000,500,1500,1,0.1,1,-0.022549379,9.085779961,105.3471696,2.04E-05
Imputed,1000,500,1500,2,0.1,1,-0.022549379,4.074778921,51.21404116,1.83E-07
Classical,1000,500,1500,2,0.1,1,-0.022549379,0.166350313,1.613419043,2.66E-07
PPI_lambda1,1000,500,1500,2,0.1,1,-0.022549379,3.736377027,37.93998876,5.81E-06
PPI_tuned,1000,500,1500,2,0.1,1,-0.022549379,3.736377027,37.93998876,5.81E-06
Debias_Lasso,1000,500,1500,2,0.1,1,-0.022549379,5.171580079,57.23798026,1.23E-07
Debias_ElasticNet,1000,500,1500,2,0.1,1,-0.022549379,7.106875921,70.3382659,1.41E-07
Debias_Ridge,1000,500,1500,2,0.1,1,-0.022549379,27.59209257,266.6986099,7.72E-05
Imputed,1000,500,1500,3,0.1,1,-0.022549379,1.446526598,16.98565233,9.91E-08
Classical,1000,500,1500,3,0.1,1,-0.022549379,0.181406001,1.327613462,5.36E-07
PPI_lambda1,1000,500,1500,3,0.1,1,-0.022549379,0.938375128,10.9157969,2.19E-08
PPI_tuned,1000,500,1500,3,0.1,1,-0.022549379,0.176503995,1.914588112,1.48E-07
Debias_Lasso,1000,500,1500,3,0.1,1,-0.022549379,1.078686686,12.35016205,4.92E-06
Debias_ElasticNet,1000,500,1500,3,0.1,1,-0.022549379,0.810314049,8.095842954,2.46E-07
Debias_Ridge,1000,500,1500,3,0.1,1,-0.022549379,1.028919483,11.47663123,6.50E-08
Imputed,1000,500,1500,4,0.1,1,-0.022549379,8.907741318,175.2716882,7.45E-06
Classical,1000,500,1500,4,0.1,1,-0.022549379,0.168284404,1.917771909,5.42E-06
PPI_lambda1,1000,500,1500,4,0.1,1,-0.022549379,8.475616117,150.0783494,6.81E-07
PPI_tuned,1000,500,1500,4,0.1,1,-0.022549379,8.475616117,150.0783494,6.81E-07
Debias_Lasso,1000,500,1500,4,0.1,1,-0.022549379,31.71336679,528.3456029,0.000208153
Debias_ElasticNet,1000,500,1500,4,0.1,1,-0.022549379,10.39348248,182.0982932,4.94E-07
Debias_Ridge,1000,500,1500,4,0.1,1,-0.022549379,2.684335876,31.05473805,1.03E-06
Imputed,1000,500,1500,5,0.1,1,-0.022549379,4.713410786,58.34399772,3.68E-08
Classical,1000,500,1500,5,0.1,1,-0.022549379,0.163326414,1.975098536,3.19E-07
PPI_lambda1,1000,500,1500,5,0.1,1,-0.022549379,4.23339899,64.33181369,2.79E-07
PPI_tuned,1000,500,1500,5,0.1,1,-0.022549379,4.23339899,64.33181369,2.79E-07
Debias_Lasso,1000,500,1500,5,0.1,1,-0.022549379,37.70080189,569.5394003,9.68E-06
Debias_ElasticNet,1000,500,1500,5,0.1,1,-0.022549379,31.83700318,480.6791963,3.39E-05
Debias_Ridge,1000,500,1500,5,0.1,1,-0.022549379,16.52205794,234.6522947,0.000172909
Imputed,1000,500,1500,6,0.1,1,-0.022549379,3.038385148,36.61926849,1.74E-06
Classical,1000,500,1500,6,0.1,1,-0.022549379,0.166055843,1.535083002,4.43E-08
PPI_lambda1,1000,500,1500,6,0.1,1,-0.022549379,2.595470749,29.69023208,7.73E-09
PPI_tuned,1000,500,1500,6,0.1,1,-0.022549379,2.436772693,27.76143465,2.10E-06
Debias_Lasso,1000,500,1500,6,0.1,1,-0.022549379,2.657232851,32.69574157,4.83E-06
Debias_ElasticNet,1000,500,1500,6,0.1,1,-0.022549379,2.517020838,30.60292857,4.25E-08
Debias_Ridge,1000,500,1500,6,0.1,1,-0.022549379,2.333637881,26.71029747,1.41E-05
Imputed,1000,500,1500,7,0.1,1,-0.022549379,90.45563581,889.2454017,5.62E-05
Classical,1000,500,1500,7,0.1,1,-0.022549379,0.170939748,1.869892087,1.99E-08
PPI_lambda1,1000,500,1500,7,0.1,1,-0.022549379,89.84961788,892.0082775,1.54E-05
PPI_tuned,1000,500,1500,7,0.1,1,-0.022549379,89.84961788,892.0082775,1.54E-05
Debias_Lasso,1000,500,1500,7,0.1,1,-0.022549379,91.07145195,857.5561364,8.68E-06
Debias_ElasticNet,1000,500,1500,7,0.1,1,-0.022549379,91.62651215,901.833731,3.84E-05
Debias_Ridge,1000,500,1500,7,0.1,1,-0.022549379,93.03852497,928.1862065,2.43E-05
Imputed,1000,500,1500,8,0.1,1,-0.022549379,1.809890646,19.65504745,3.22E-05
Classical,1000,500,1500,8,0.1,1,-0.022549379,0.162926795,1.497099538,9.96E-08
PPI_lambda1,1000,500,1500,8,0.1,1,-0.022549379,1.370575336,13.82590846,1.13E-06
PPI_tuned,1000,500,1500,8,0.1,1,-0.022549379,0.638404181,6.285827104,4.68E-08
Debias_Lasso,1000,500,1500,8,0.1,1,-0.022549379,2.038705077,21.7685647,2.42E-06
Debias_ElasticNet,1000,500,1500,8,0.1,1,-0.022549379,2.914862389,28.08049458,4.14E-06
Debias_Ridge,1000,500,1500,8,0.1,1,-0.022549379,2.042674326,19.85818692,3.47E-07
Imputed,1000,500,1500,9,0.1,1,-0.022549379,14.87864457,183.5981994,6.89E-05
Classical,1000,500,1500,9,0.1,1,-0.022549379,0.158607292,1.304029357,6.26E-10
PPI_lambda1,1000,500,1500,9,0.1,1,-0.022549379,14.01222254,184.3381797,6.67E-06
PPI_tuned,1000,500,1500,9,0.1,1,-0.022549379,14.01222254,184.3381797,6.67E-06
Debias_Lasso,1000,500,1500,9,0.1,1,-0.022549379,35.92449748,468.3618583,2.95E-06
Debias_ElasticNet,1000,500,1500,9,0.1,1,-0.022549379,30.58345285,404.6092377,1.10E-06
Debias_Ridge,1000,500,1500,9,0.1,1,-0.022549379,34.80274044,462.2133527,0.000307293
Imputed,1400,50,1500,0,0.1,1,-0.012463903,1.027777461,10.51983608,7.10E-06
Classical,1400,50,1500,0,0.1,1,-0.012463903,0.312847795,1.39706395,5.70E-08
PPI_lambda1,1400,50,1500,0,0.1,1,-0.012463903,0.994527075,9.956556723,6.26E-07
PPI_tuned,1400,50,1500,0,0.1,1,-0.012463903,0.312847795,1.39706395,5.70E-08
Debias_Lasso,1400,50,1500,0,0.1,1,-0.012463903,1.050428974,10.72610193,9.76E-08
Debias_ElasticNet,1400,50,1500,0,0.1,1,-0.012463903,1.115394631,12.11571284,6.86E-06
Debias_Ridge,1400,50,1500,0,0.1,1,-0.012463903,0.999690679,10.05048129,4.37E-08
Imputed,1400,50,1500,1,0.1,1,-0.012463903,1.008004828,11.42228679,7.03E-08
Classical,1400,50,1500,1,0.1,1,-0.012463903,0.309665517,1.549996249,1.51E-07
PPI_lambda1,1400,50,1500,1,0.1,1,-0.012463903,0.967701421,10.9270454,1.13E-07
PPI_tuned,1400,50,1500,1,0.1,1,-0.012463903,0.251502682,1.281270098,5.00E-09
Debias_Lasso,1400,50,1500,1,0.1,1,-0.012463903,1.169472122,13.23196092,1.47E-07
Debias_ElasticNet,1400,50,1500,1,0.1,1,-0.012463903,1.157703338,13.16859391,2.38E-08
Debias_Ridge,1400,50,1500,1,0.1,1,-0.012463903,1.097168986,11.52812403,6.94E-06
Imputed,1400,50,1500,2,0.1,1,-0.012463903,1.016122273,10.04044866,1.79E-09
Classical,1400,50,1500,2,0.1,1,-0.012463903,0.310210453,1.50874907,2.33E-07
PPI_lambda1,1400,50,1500,2,0.1,1,-0.012463903,0.987224684,10.81719101,3.23E-09
PPI_tuned,1400,50,1500,2,0.1,1,-0.012463903,0.24346752,2.487417737,3.55E-10
Debias_Lasso,1400,50,1500,2,0.1,1,-0.012463903,1.30086291,12.34245765,2.63E-06
Debias_ElasticNet,1400,50,1500,2,0.1,1,-0.012463903,1.30086291,12.34245765,2.63E-06
Debias_Ridge,1400,50,1500,2,0.1,1,-0.012463903,1.386967439,13.25905024,1.86E-06
Imputed,1400,50,1500,3,0.1,1,-0.012463903,1.000215335,10.68285904,2.02E-09
Classical,1400,50,1500,3,0.1,1,-0.012463903,0.310968609,1.338805872,4.44E-07
PPI_lambda1,1400,50,1500,3,0.1,1,-0.012463903,0.965176325,11.0548852,4.84E-07
PPI_tuned,1400,50,1500,3,0.1,1,-0.012463903,0.251692649,2.774245563,9.65E-07
Debias_Lasso,1400,50,1500,3,0.1,1,-0.012463903,2.873609276,35.14097035,4.13E-07
Debias_ElasticNet,1400,50,1500,3,0.1,1,-0.012463903,2.880721058,35.23681772,6.58E-06
Debias_Ridge,1400,50,1500,3,0.1,1,-0.012463903,2.695253153,31.38045758,2.46E-05
Imputed,1400,50,1500,4,0.1,1,-0.012463903,1.003788492,11.68961793,1.11E-06
Classical,1400,50,1500,4,0.1,1,-0.012463903,0.313146664,1.281509221,3.99E-09
PPI_lambda1,1400,50,1500,4,0.1,1,-0.012463903,0.977474427,11.50726768,1.95E-07
PPI_tuned,1400,50,1500,4,0.1,1,-0.012463903,0.977474427,11.50726768,1.95E-07
Debias_Lasso,1400,50,1500,4,0.1,1,-0.012463903,1.113564675,14.698038,6.04E-07
Debias_ElasticNet,1400,50,1500,4,0.1,1,-0.012463903,1.036732674,12.03854182,3.46E-06
Debias_Ridge,1400,50,1500,4,0.1,1,-0.012463903,1.125696897,14.81778265,1.78E-07
Imputed,1400,50,1500,5,0.1,1,-0.012463903,1.00144336,9.874374288,2.76E-07
Classical,1400,50,1500,5,0.1,1,-0.012463903,0.312069118,1.346846386,2.65E-08
PPI_lambda1,1400,50,1500,5,0.1,1,-0.012463903,0.960961916,10.51315403,2.03E-06
PPI_tuned,1400,50,1500,5,0.1,1,-0.012463903,0.255070668,1.482790465,2.16E-06
Debias_Lasso,1400,50,1500,5,0.1,1,-0.012463903,0.998457835,9.706059211,1.14E-10
Debias_ElasticNet,1400,50,1500,5,0.1,1,-0.012463903,0.998457835,9.706059211,1.14E-10
Debias_Ridge,1400,50,1500,5,0.1,1,-0.012463903,0.95881371,10.40324752,3.03E-06
Imputed,1400,50,1500,6,0.1,1,-0.012463903,1.007154275,10.71930121,8.78E-08
Classical,1400,50,1500,6,0.1,1,-0.012463903,0.309148759,1.576394369,1.10E-07
PPI_lambda1,1400,50,1500,6,0.1,1,-0.012463903,0.972904806,10.4458905,5.38E-07
PPI_tuned,1400,50,1500,6,0.1,1,-0.012463903,0.241027095,1.836425928,1.53E-06
Debias_Lasso,1400,50,1500,6,0.1,1,-0.012463903,1.644055176,32.43869313,6.21E-06
Debias_ElasticNet,1400,50,1500,6,0.1,1,-0.012463903,1.708144638,20.84957546,8.71E-06
Debias_Ridge,1400,50,1500,6,0.1,1,-0.012463903,1.933937172,22.54998251,1.25E-06
Imputed,1400,50,1500,7,0.1,1,-0.012463903,1.006626693,10.3429018,1.26E-06
Classical,1400,50,1500,7,0.1,1,-0.012463903,0.30979395,1.404124685,4.80E-09
PPI_lambda1,1400,50,1500,7,0.1,1,-0.012463903,0.9599588,9.411323439,2.05E-06
PPI_tuned,1400,50,1500,7,0.1,1,-0.012463903,0.30979395,1.404124685,4.80E-09
Debias_Lasso,1400,50,1500,7,0.1,1,-0.012463903,1.007089189,10.2138055,5.28E-09
Debias_ElasticNet,1400,50,1500,7,0.1,1,-0.012463903,0.988264647,13.19284945,8.76E-08
Debias_Ridge,1400,50,1500,7,0.1,1,-0.012463903,1.024680294,11.14112568,5.59E-07
Imputed,1400,50,1500,8,0.1,1,-0.012463903,0.999835977,9.867249007,1.22E-06
Classical,1400,50,1500,8,0.1,1,-0.012463903,0.312637889,1.354049176,8.80E-08
PPI_lambda1,1400,50,1500,8,0.1,1,-0.012463903,0.956047863,10.18808519,3.21E-06
PPI_tuned,1400,50,1500,8,0.1,1,-0.012463903,0.312637889,1.354049176,8.80E-08
Debias_Lasso,1400,50,1500,8,0.1,1,-0.012463903,1.141323275,13.18444417,5.01E-07
Debias_ElasticNet,1400,50,1500,8,0.1,1,-0.012463903,1.141323275,13.18444417,5.01E-07
Debias_Ridge,1400,50,1500,8,0.1,1,-0.012463903,1.029390659,12.51363534,3.98E-05
Imputed,1400,50,1500,9,0.1,1,-0.012463903,1.011110557,10.31593055,5.02E-08
Classical,1400,50,1500,9,0.1,1,-0.012463903,0.312911899,1.518514143,8.34E-07
